#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
8.212123,0.080509,0.909972,0.008718,0.008718,9.220744
7.666750,0.146536,2.364357,0.001824,0.001824,10.181660
6.850609,0.535924,3.706587,0.476878,0.476878,26.511920
7.713030,0.609095,5.155174,0.719305,0.719305,35.229577
7.768484,0.520932,5.434394,0.565464,0.565464,32.725807
7.625162,0.758410,7.628049,1.349005,1.349005,41.377199
8.647071,0.904229,10.537081,2.131992,2.131992,64.498675
8.995090,0.663831,9.194600,2.136389,2.136389,59.707749
8.059125,0.840417,10.359724,2.250128,2.250128,63.157303
8.102517,0.867590,10.500169,2.236384,2.236384,65.603546
7.814483,0.731659,10.601685,1.868623,1.868623,72.355289
7.354269,0.895457,11.186852,3.180000,3.180000,81.293577
7.465674,0.960322,13.994498,5.047261,5.047261,105.317582
8.963159,0.695997,12.479062,2.028099,2.028099,81.430650
7.056313,0.981253,12.534011,3.161642,3.161642,75.988415
8.325046,0.830103,12.384675,1.721424,1.721424,70.094804
6.864038,0.752906,11.367477,1.662041,1.662041,55.440753
6.390711,0.643085,10.406568,1.217233,1.217233,47.110528
6.456011,0.724951,12.312611,1.313071,1.313071,50.282496
7.471103,0.733233,12.717427,0.889985,0.889985,47.645953
6.998502,0.807946,13.829050,1.639862,1.639862,75.367736
6.766995,0.758594,13.961051,1.886861,1.886861,60.992177
8.102832,0.884123,13.554390,1.731564,1.731564,56.593339
6.100798,0.803864,13.221324,1.480136,1.480136,50.734143
6.469657,0.670931,12.817280,2.059994,2.059994,74.065509
7.969269,0.867036,13.924313,1.708928,1.708928,58.420556
6.282975,0.715821,13.175479,1.424248,1.424248,56.839968
6.853877,0.641434,13.270155,4.452424,4.452424,69.961903
6.880778,0.621275,13.619126,1.377090,1.377090,59.630123
7.693015,0.595274,13.542241,1.926833,1.926833,62.750340
8.020022,0.832123,14.207136,2.431503,2.431503,76.300441
9.362024,1.356235,18.306792,2.614059,2.614059,83.740051
7.184924,0.737859,12.101296,1.748391,1.748391,57.189664
7.589771,0.709296,15.226593,1.754003,1.754003,68.248198
7.016567,0.816326,11.616896,2.680954,2.680954,59.462189
6.536944,0.771306,11.113422,0.923998,0.923998,53.545728
7.119016,0.852565,9.585323,1.606968,1.606968,50.133896
6.334694,1.043784,10.510711,1.157155,1.157155,48.008819
6.974109,0.990795,7.247619,1.374235,1.374235,40.225146
7.256574,0.776745,7.407530,1.421209,1.421209,43.462119
6.885360,1.046151,9.175266,1.160195,1.160195,43.888233
6.958997,1.167295,8.517134,1.263284,1.263284,42.707369
7.297440,1.149252,9.802739,1.519152,1.519152,45.568207
6.787471,0.987159,10.803489,1.213064,1.213064,43.901164
6.173579,1.070588,15.005919,1.501370,1.501370,53.717755
7.307891,1.024027,12.536128,2.157612,2.157612,56.465755
6.608442,0.969735,11.323997,2.238491,2.238491,58.409905
7.211424,0.921534,11.345287,1.696130,1.696130,60.376081
7.001076,0.928752,10.743337,1.336737,1.336737,56.303033
7.273304,1.212630,11.383967,2.672454,2.672454,73.960281
9.191134,1.261464,15.685926,1.933607,1.933607,75.040227
6.099717,1.029194,11.271073,1.594896,1.594896,59.638117
6.608974,0.908549,11.912683,1.516167,1.516167,62.612454
6.625149,0.943626,12.826269,1.935931,1.935931,60.061458
8.679757,0.811593,13.922675,1.614611,1.614611,63.299668
7.150792,0.946459,13.064724,1.986097,1.986097,65.320180
7.146743,0.887760,12.748312,2.027436,2.027436,67.698888
7.390029,0.707288,15.769267,1.756229,1.756229,76.144469
7.443507,0.798023,12.893968,1.692101,1.692101,66.221640
