#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.008718,3,1,0,4040
0.001824,4,1,0,4507
0.476878,5,1,0,5374
0.719305,6,1,0,6094
0.565464,7,1,0,6763
1.349005,8,1,0,7418
2.131992,9,1,0,8024
2.136389,10,1,0,8644
2.250128,11,1,0,9362
2.236384,12,1,0,9770
1.868623,13,1,0,10117
3.180000,11,3,0,9737
5.047261,9,6,0,8478
2.028099,9,7,0,8847
3.161642,9,8,0,7770
1.721424,8,10,0,6611
1.662041,9,10,0,7095
1.217233,9,11,0,6981
1.313071,10,11,0,7554
0.889985,11,11,0,8086
1.639862,11,12,0,8140
1.886861,11,13,0,8313
1.731564,12,13,0,8788
1.480136,13,13,0,9201
2.059994,12,15,0,8732
1.708928,13,15,0,9119
1.424248,12,17,0,8707
4.452424,14,16,0,10290
1.377090,13,18,0,9947
1.926833,14,18,0,10732
2.431503,12,21,0,9910
2.614059,12,22,0,10082
1.748391,10,25,0,9421
1.754003,8,28,0,8721
2.680954,8,25,0,8998
0.923998,5,20,0,6676
1.606968,5,17,0,6207
1.157155,6,17,0,6892
1.374235,6,10,0,6006
1.421209,7,10,0,6287
1.160195,8,10,0,6595
1.263284,9,10,0,6940
1.519152,10,10,0,7354
1.213064,11,10,0,8006
1.501370,12,10,0,8539
2.157612,13,10,0,9313
2.238491,12,7,0,8629
1.696130,13,7,0,9151
1.336737,13,4,0,9159
2.672454,14,4,0,9566
1.933607,15,4,0,9852
1.594896,12,7,0,8851
1.516167,13,7,0,9545
1.935931,13,8,0,9748
1.614611,14,8,0,10329
1.986097,15,8,0,11059
2.027436,14,10,0,10777
1.756229,13,12,0,10637
1.692101,12,14,0,10277
1.716181,11,16,0,10064
2.739219,9,19,0,9103
2.205282,7,21,0,7744
2.146279,6,21,0,6196
1.452919,6,20,0,5653
0.704324,7,20,0,6265
0.782380,8,20,0,6783
1.058592,9,20,0,7478
1.053837,10,20,0,8075
1.067852,9,17,0,7909
1.431468,10,17,0,8594
1.587015,10,7,0,8248
1.449500,11,7,0,8958
1.423869,12,7,0,9712
1.414358,13,7,0,10551
3.362285,14,7,0,11411
2.936486,15,7,0,12104
1.835664,16,7,0,13022
3.793957,17,7,0,13841
2.902615,18,7,0,14640
4.646901,19,7,0,15479
8.243638,19,5,0,15881
6.123260,20,5,0,16543
3.184570,21,5,0,17449
3.771105,22,5,0,18160
4.742023,23,5,0,18707
5.224654,23,6,0,19046
3.557586,24,6,0,19916
4.335722,23,8,0,20220
9.191702,24,8,0,20601
3.980401,24,9,0,20808
4.012296,23,11,0,20531
6.214245,24,11,0,21224
4.057056,22,13,0,20051
6.698157,25,12,0,22028
3.989281,24,13,0,21512
4.656857,27,12,0,23532
