#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
50.313130,58,80,0,25385
33.290169,59,80,0,25765
44.630285,57,83,0,25095
23.407206,58,83,0,25437
26.216712,63,79,0,27188
44.978635,58,85,0,25745
68.956678,60,84,0,26378
38.115769,69,76,0,29953
27.976049,64,82,0,27326
34.866801,57,90,0,26874
15.666935,62,86,0,28104
41.676144,59,90,0,27392
40.534982,62,88,0,29712
31.806566,64,87,0,28473
36.646140,69,83,0,29473
36.086574,59,93,0,26111
31.446309,68,86,0,29826
23.171168,98,147,0,44650
45.602307,96,151,0,42936
77.009006,91,150,0,41587
51.980434,85,160,0,40300
22.125944,92,151,0,42181
48.743318,91,155,0,41721
42.001315,88,158,0,40925
40.279423,85,159,0,40921
24.520479,87,160,0,41164
46.479725,80,168,0,39490
38.573096,76,171,0,37988
31.119891,90,163,0,44830
41.988558,97,161,0,46465
30.136609,88,171,0,44956
51.702032,93,166,0,44613
42.444395,94,166,0,44647
48.400953,97,142,0,44901
60.316715,96,144,0,44942
35.207327,103,139,0,46999
55.934076,103,141,0,46727
94.204044,102,141,0,46026
81.432925,103,140,0,46993
50.778850,104,140,0,47041
46.909628,-733697856,-1383589866,1,-1708915947
38.254016,1071911218,-1061488564,1,1080631104
