#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.377552,0.072660,0.548799,0.006373,0.006373,6.011452
0.574028,0.083506,1.898889,0.000880,0.000880,2.558942
6.465076,0.464881,3.986574,0.186335,0.186335,20.879380
7.630623,0.894491,6.321340,0.399245,0.399245,26.988765
7.794944,0.363550,6.774443,0.385913,0.385913,27.062037
6.312493,0.360977,7.243482,0.477768,0.477768,29.190508
6.135798,0.463286,8.775782,0.494334,0.494334,32.605815
6.222040,0.440162,9.342819,0.929144,0.929144,42.046448
8.886524,0.454959,11.569477,0.791239,0.791239,46.186748
6.433767,0.507231,10.967830,0.766367,0.766367,43.727910
6.271717,0.558537,11.747116,1.183243,1.183243,49.295315
6.415800,0.512735,12.158747,1.671432,1.671432,61.584542
6.116094,0.607260,15.990766,1.352392,1.352392,60.778951
7.399702,0.600550,13.838854,1.747609,1.747609,68.509940
6.890962,0.511074,13.236479,1.320496,1.320496,60.658785
6.381722,0.479396,13.422065,2.234300,2.234300,63.083241
7.921817,0.467172,14.450466,2.699193,2.699193,76.695462
5.968451,0.465706,13.599780,2.782806,2.782806,71.441539
6.311407,0.492000,14.090756,2.268421,2.268421,70.026563
5.900926,0.468725,14.704520,1.549702,1.549702,62.669448
7.345443,0.497081,13.371366,1.775738,1.775738,60.700581
6.521072,0.460126,13.363735,1.964266,1.964266,60.180410
6.601993,0.450606,13.639990,1.739119,1.739119,68.000612
7.214149,0.646906,16.871307,1.408518,1.408518,73.239218
6.718089,0.509315,14.096134,1.446352,1.446352,66.455070
6.962970,0.603080,15.504803,1.689876,1.689876,75.437562
7.490795,0.671169,15.687577,1.618008,1.618008,70.991596
7.274889,0.601017,13.749778,1.715432,1.715432,70.254031
7.363876,0.743548,15.033733,3.979857,3.979857,104.415714
7.503920,0.835206,14.769169,3.344481,3.344481,91.538702
7.997853,0.834406,16.442957,3.652914,3.652914,85.874618
6.823437,0.580542,17.099264,1.582422,1.582422,69.951774
7.387749,0.695585,15.438471,2.642968,2.642968,73.787713
7.248639,0.701957,15.358386,1.884527,1.884527,66.540755
7.800683,0.717949,14.841416,1.926931,1.926931,59.147991
8.025624,0.812190,15.414143,2.266629,2.266629,69.420476
8.059342,0.935201,16.057510,1.972189,1.972189,69.775460
7.740932,0.780360,21.318528,1.805483,1.805483,76.837645
8.814360,0.686542,18.749705,2.262624,2.262624,74.753843
8.158165,0.986030,16.268836,2.573228,2.573228,74.033333
7.851132,0.681038,15.445333,2.270353,2.270353,78.937437
7.737479,0.733690,16.175962,4.545787,4.545787,99.459521
