#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
10.155918,0.159040,1.629551,0.012810,0.012810,11.976856
9.492428,0.725847,3.754265,0.002275,0.002275,13.978053
8.380597,0.514672,3.926467,0.827411,0.827411,29.923485
7.991436,0.465615,8.453129,0.774612,0.774612,38.269792
8.843959,0.461983,8.545322,1.039182,1.039182,47.526803
8.899059,0.495526,8.211361,1.581219,1.581219,59.477850
9.080090,0.599540,10.140645,1.487300,1.487300,65.338308
7.828772,0.523668,9.062495,1.859184,1.859184,61.031256
7.891098,0.763068,12.948245,3.874438,3.874438,77.205714
7.805401,0.702623,10.923499,4.418444,4.418444,83.090468
7.690669,0.663257,12.714456,3.170443,3.170443,87.962518
7.961737,0.727473,12.343221,3.073392,3.073392,108.804209
6.775337,0.710186,12.102811,3.376579,3.376579,76.947691
7.739810,0.785258,13.195417,2.861196,2.861196,122.504382
7.155850,0.724583,12.526896,3.439417,3.439417,97.228124
6.688595,0.690079,14.119801,2.923952,2.923952,121.229165
7.889307,0.897295,15.437071,3.628637,3.628637,140.392364
8.114296,0.728946,15.149183,4.227675,4.227675,149.882998
8.619977,0.884712,17.183863,4.763168,4.763168,169.367167
7.941910,0.803477,19.297637,3.343546,3.343546,162.324330
7.883453,0.746525,17.573521,7.088235,7.088235,163.091578
9.857475,1.179596,21.825602,5.703459,5.703459,180.062927
7.568327,0.754832,17.803286,6.102142,6.102142,162.563281
7.792095,0.970726,15.691387,8.202226,8.202226,154.017340
7.690795,0.798382,15.081028,6.038096,6.038096,167.306649
7.483697,0.838451,14.600443,4.195268,4.195268,158.394753
6.958142,0.872802,15.081717,4.335564,4.335564,146.076245
7.912913,0.855479,16.025405,3.930252,3.930252,194.928151
8.112248,0.886545,16.049401,4.102929,4.102929,182.063227
9.406761,1.045854,19.453408,6.385849,6.385849,189.074143
7.975055,0.971709,19.407930,6.452042,6.452042,189.192242
6.967478,1.003563,20.718974,5.865932,5.865932,190.358122
8.490318,0.801132,20.276168,11.151178,11.151178,223.475184
7.777178,1.078335,18.301794,7.093035,7.093035,201.980047
10.006242,0.994019,18.833513,14.384086,14.384086,215.544964
11.835271,1.228520,17.610370,7.221616,7.221616,197.480619
9.231625,0.995554,15.286112,6.590741,6.590741,180.699226
8.130351,0.979365,15.965703,4.092520,4.092520,165.097428
9.934698,1.074678,16.197521,5.128243,5.128243,188.174952
8.506020,1.011698,16.125262,7.046736,7.046736,184.676465
7.891546,1.039871,14.911521,3.906281,3.906281,171.375958
7.304351,0.999239,14.439887,5.292082,5.292082,143.971914
