#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.006793,3,1,0,4353
0.001042,4,1,0,4933
0.392659,5,1,0,5837
0.513119,6,1,0,6542
0.852687,7,1,0,7269
1.766642,8,1,0,7949
2.524784,9,1,0,8609
1.481578,10,1,0,9158
2.140109,11,1,0,9862
1.522526,12,1,0,10537
1.662534,13,1,0,11289
1.896363,14,1,0,12036
1.899429,15,1,0,12681
3.819945,16,1,0,13307
2.281983,16,1,0,14060
2.486099,18,1,0,14614
2.776981,18,1,0,15155
3.061229,17,3,0,15230
3.057504,16,5,0,13708
2.775750,17,5,0,14346
2.773696,18,5,0,14982
5.169769,19,5,0,15615
3.102338,19,6,0,15671
3.487757,19,7,0,15530
2.920569,19,8,0,15578
3.137134,19,9,0,15803
4.743528,20,9,0,16528
3.909764,20,10,0,16554
4.239956,22,9,0,17933
3.120944,22,10,0,17544
3.196760,19,14,0,15372
4.415242,15,19,0,13180
8.421846,16,19,0,14063
3.583071,15,21,0,14550
6.667148,15,22,0,13941
4.068201,9,29,0,11412
4.722054,7,32,0,10007
2.772442,7,33,0,9336
1.312604,8,33,0,9829
1.694563,9,33,0,10418
1.655631,9,20,0,9716
2.412325,10,20,0,10450
2.153925,11,20,0,11171
3.212480,12,20,0,11801
2.456895,13,20,0,12553
2.861018,14,20,0,13235
3.354583,15,20,0,13860
3.682359,15,19,0,13319
5.416325,17,20,0,15357
2.599779,17,19,0,14688
6.336492,18,19,0,15361
6.511669,19,19,0,16087
5.277170,19,19,0,15744
3.045353,20,19,0,16741
3.714372,20,20,0,17304
2.925714,19,7,0,15832
2.920946,18,8,0,15877
4.634964,19,8,0,16593
3.813213,20,8,0,17128
4.159475,21,8,0,17782
4.232736,21,9,0,18418
4.957152,19,12,0,17272
3.657457,19,13,0,17462
4.870145,22,11,0,19354
6.430785,20,14,0,18173
4.198095,21,14,0,18855
6.535166,22,14,0,19499
4.896650,20,16,0,18191
8.547158,19,18,0,18419
3.460079,20,18,0,19041
4.821961,21,18,0,19533
7.550011,17,23,0,15729
3.804713,16,24,0,13574
3.288083,15,26,0,13586
4.604004,15,27,0,13304
2.466387,16,27,0,14003
4.315743,13,31,0,11792
3.118574,14,31,0,12491
6.769497,17,29,0,15249
3.134345,16,31,0,13550
6.173348,16,32,0,13485
4.946321,18,31,0,14590
2.890709,18,32,0,14658
2.740243,18,33,0,14541
5.025656,18,33,0,15635
10.816965,17,35,0,15583
3.102707,19,34,0,17092
4.798025,19,35,0,17198
7.956927,20,35,0,17980
5.038391,20,34,0,16447
3.556743,20,34,0,16471
6.828810,21,34,0,17152
3.168732,21,27,0,17059
3.347761,21,24,0,17190
7.188851,23,27,0,18503
9.264112,22,25,0,18052
12.325752,21,25,0,17785
3.520470,19,22,0,16589
3.426501,14,28,0,13568
5.050647,14,29,0,13450
4.757500,13,31,0,12813
4.648499,13,32,0,12643
5.091517,12,34,0,11708
3.690026,13,34,0,12279
3.385635,14,34,0,12845
4.231813,13,36,0,11842
12.418027,14,36,0,12616
2.309397,16,35,0,14211
3.759491,17,35,0,15398
3.401797,17,36,0,14456
3.008694,17,37,0,14266
4.454129,16,27,0,13043
4.235280,17,27,0,13612
6.000535,16,25,0,12674
5.496057,17,25,0,13106
2.714016,18,25,0,13621
2.442208,16,25,0,12713
4.135275,17,25,0,13344
4.494166,18,25,0,14068
4.664931,17,25,0,13753
3.842028,17,26,0,13838
8.548891,17,27,0,14457
3.982017,16,23,0,13326
4.310364,13,27,0,11650
4.904679,14,27,0,12284
4.641127,12,30,0,10975
3.515547,13,30,0,11681
2.806553,12,31,0,11211
3.393935,13,31,0,11753
4.743635,11,33,0,10600
5.330726,11,28,0,10284
7.290017,11,27,0,9983
1.736208,12,27,0,10651
2.395528,13,27,0,11189
2.353378,13,23,0,10904
2.674763,14,23,0,11532
1.872860,15,23,0,12131
2.600721,16,23,0,12773
5.352141,15,19,0,11799
4.681080,18,23,0,13613
3.558679,19,23,0,13957
7.216093,20,23,0,14333
11.089567,20,24,0,14111
4.453060,22,23,0,15473
4.521109,22,24,0,15288
3.159124,21,20,0,14622
2.808460,21,19,0,14588
4.910635,22,19,0,15246
10.751914,23,19,0,15843
5.214621,25,19,0,17954
3.792863,25,19,0,17115
5.438766,26,19,0,17521
3.981350,27,19,0,18000
3.807451,28,19,0,18681
3.502830,28,19,0,18884
5.051668,28,20,0,19383
5.250077,27,22,0,18674
3.326604,29,21,0,19078
4.376069,28,23,0,18553
10.674426,28,24,0,18504
5.327488,25,28,0,16319
3.116684,25,29,0,15978
8.637992,21,34,0,14841
5.189936,24,32,0,15955
4.163665,19,38,0,13867
4.392893,19,39,0,13782
11.592949,20,39,0,14167
3.645044,20,40,0,14051
5.952915,18,43,0,12982
4.223550,19,43,0,13374
4.191930,20,43,0,13586
4.582446,18,46,0,13546
1.986025,16,49,0,11007
9.768789,14,35,0,8800
3.928412,16,50,0,9962
2.696388,16,35,0,9946
1.513696,13,37,0,8480
1.839452,13,38,0,9086
1.121867,13,39,0,8573
1.902501,14,39,0,9224
1.731318,15,39,0,9799
1.983126,15,40,0,10077
4.463141,16,40,0,10472
1.940656,16,39,0,10654
2.796210,16,40,0,10797
1.703072,16,41,0,11040
2.144536,19,39,0,12581
2.729513,20,39,0,13024
3.245909,20,40,0,13059
7.881325,21,40,0,13490
4.079372,22,40,0,14022
3.120671,24,39,0,14838
8.886692,25,39,0,15242
12.682240,24,41,0,14821
3.544381,26,40,0,15574
7.730503,26,41,0,15879
7.772203,27,41,0,16438
8.937403,28,41,0,17057
3.483626,29,41,0,17725
5.264751,30,41,0,18363
4.908216,31,41,0,18899
6.685152,32,41,0,19492
7.629004,33,41,0,20027
14.986347,33,42,0,19911
21.375636,35,41,0,20907
6.439892,35,42,0,20860
11.478769,36,42,0,21548
11.053220,37,42,0,22224
4.295870,36,44,0,21848
6.094433,36,39,0,22324
4.857514,40,42,0,23761
4.103884,42,41,0,24520
8.907646,40,44,0,23491
4.768234,38,41,0,23902
4.632155,41,45,0,23423
14.789158,44,43,0,24838
11.935431,37,51,0,23886
4.963016,35,54,0,23327
4.820425,27,45,0,19712
4.317696,34,57,0,24325
3.308818,42,50,0,27112
15.550071,23,52,0,18070
4.967761,34,60,0,25899
4.268717,22,45,0,15534
4.123673,23,45,0,16203
2.471442,22,47,0,15588
4.623669,22,48,0,15485
14.948825,23,48,0,16097
4.957953,23,49,0,16500
3.779985,25,48,0,17111
