#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,52.078637,3.983278,0.000000,18.053863,2.139716,0.043573,59.732676
0.000000,0.000000,22.785007,3.760106,0.000000,1.487079,1.217473,0.037439,48.625793
0.000000,0.000000,13.057189,3.025336,0.000000,0.882942,0.937235,0.337552,20.035664
0.000000,0.000000,11.307177,2.943244,0.000000,1.526588,1.538862,0.306023,17.061058
0.000000,0.000000,10.709622,2.715232,0.000000,1.490838,1.496520,0.057456,17.562354
0.000000,0.000000,9.934991,2.675854,0.000000,1.060642,1.261960,0.292974,16.406832
0.000000,0.000000,12.591594,3.010196,0.000000,1.326501,1.566391,0.044276,19.131032
0.000000,0.000000,9.990161,3.121142,0.000000,0.957872,1.219599,0.294354,16.834236
0.000000,0.000000,10.126093,2.669646,0.000000,1.481839,1.681988,0.039238,16.083165
0.000000,0.000000,10.143171,2.602125,0.000000,1.011298,1.215043,0.248537,16.803695
0.000000,0.000000,10.263783,2.810400,0.000000,1.237796,1.566432,0.053255,16.329958
0.000000,0.000000,11.236934,2.598325,0.000000,0.866328,1.333904,0.048103,17.665627
0.000000,0.000000,10.386772,2.668307,0.000000,0.739893,1.052759,0.299784,16.121586
0.000000,0.000000,10.165505,2.354720,0.000000,1.220311,1.271438,0.030674,15.296346
0.000000,0.000000,10.667527,2.441892,0.000000,0.926657,1.241288,0.033002,16.260077
0.000000,0.000000,9.238506,2.508845,0.000000,0.726032,1.127695,0.032489,14.771240
0.000000,0.000000,9.100133,2.554712,0.000000,0.666096,1.012177,0.363288,14.210018
0.000000,0.000000,9.455259,2.606471,0.000000,1.628617,1.804959,0.039918,14.790161
0.000000,0.000000,10.392643,3.922511,0.000000,1.023618,1.724671,0.037588,18.667596
0.000000,0.000000,9.904528,3.546427,0.000000,0.948138,1.613215,0.052567,17.150203
0.000000,0.000000,10.062274,2.539620,0.000000,0.757379,1.303975,0.081322,16.085530
0.000000,0.000000,9.683911,2.639754,0.000000,0.621102,1.148984,0.360246,15.228549
0.000000,0.000000,10.501418,2.720147,0.000000,1.304147,1.811298,0.036966,16.137773
0.000000,0.000000,10.960806,2.657649,0.000000,0.997039,1.647726,0.066348,17.624752
0.000000,0.000000,10.851930,2.626225,0.000000,0.700993,1.443408,0.058050,17.133551
0.000000,0.000000,11.067616,2.879907,0.000000,0.561016,1.121175,0.341028,17.069673
0.000000,0.000000,9.497102,2.957882,0.000000,1.121356,1.231930,0.044800,15.208639
0.000000,0.000000,10.255323,2.440144,0.000000,0.784947,1.176300,0.031440,15.812374
0.000000,0.000000,10.635274,2.430656,0.000000,0.679414,1.698283,0.424892,15.732635
0.000000,0.000000,10.091199,2.541643,0.000000,1.085336,1.623884,0.030944,16.308564
0.000000,0.000000,11.787597,4.033597,0.000000,0.792899,1.199188,0.036502,19.437377
0.000000,0.000000,11.491035,2.792572,0.000000,0.631179,1.281108,0.324471,17.264617
0.000000,0.000000,12.567959,2.951761,0.000000,1.261177,1.549055,0.030844,18.675344
0.000000,0.000000,12.171131,2.778975,0.000000,0.916424,1.270618,0.031711,18.756929
0.000000,0.000000,10.950366,2.798546,0.000000,0.638956,1.272927,0.261755,16.658532
0.000000,0.000000,12.451739,3.055151,0.000000,1.184210,1.702919,0.034868,18.405276
0.000000,0.000000,12.072086,2.530413,0.000000,0.943737,1.500581,0.049755,18.674908
0.000000,0.000000,12.062221,2.732065,0.000000,0.719896,1.323651,0.300556,18.180466
0.000000,0.000000,10.795769,3.028788,0.000000,1.227343,1.753784,0.038438,17.040746
0.000000,0.000000,12.151043,2.739525,0.000000,0.884110,1.412165,0.036006,18.915073
0.000000,0.000000,11.239026,2.801492,0.000000,0.752505,1.456615,0.274671,17.265484
0.000000,0.000000,13.997964,2.770345,0.000000,1.105846,1.672217,0.029650,20.046433
0.000000,0.000000,11.997508,2.648716,0.000000,0.873113,1.517580,0.030447,18.241097
0.000000,0.000000,10.466798,2.451992,0.000000,0.777484,1.310291,0.300497,16.201615
0.000000,0.000000,10.482114,2.587168,0.000000,1.194878,1.781779,0.029469,16.235251
0.000000,0.000000,11.580172,2.743318,0.000000,0.872953,1.641962,0.049383,18.171405
0.000000,0.000000,11.158906,2.765142,0.000000,0.710042,1.387035,0.031053,17.287703
0.000000,0.000000,12.105312,2.726441,0.000000,0.668619,1.368065,0.261974,17.866983
0.000000,0.000000,11.688423,2.626565,0.000000,1.153375,1.805425,0.033501,17.446410
0.000000,0.000000,12.768036,2.769419,0.000000,0.994457,1.834699,0.039959,19.373498
0.000000,0.000000,11.504477,3.016704,0.000000,0.948221,1.603349,0.037538,18.330717
0.000000,0.000000,13.369753,2.748229,0.000000,0.756327,1.402626,0.029848,19.491186
0.000000,0.000000,9.955173,2.598759,0.000000,0.637086,1.362585,0.257433,15.461693
0.000000,0.000000,10.195042,2.649734,0.000000,1.231952,1.738999,0.047133,15.867349
0.000000,0.000000,10.144071,2.793085,0.000000,0.887187,1.523905,0.030867,16.753826
0.000000,0.000000,10.159286,2.670177,0.000000,0.854913,1.750088,0.044368,16.099203
0.000000,0.000000,11.837788,3.125880,0.000000,1.087321,1.730640,0.046931,18.527859
0.000000,0.000000,12.719542,3.326828,0.000000,0.772165,1.665453,0.320711,19.990923
0.000000,0.000000,12.023830,3.941049,0.000000,1.233875,2.076099,0.039543,19.717940
0.000000,0.000000,10.817398,3.204698,0.000000,0.991997,1.949356,0.042812,18.424871
0.000000,0.000000,9.208768,3.049576,0.000000,1.134841,1.914130,0.047111,16.113729
0.000000,0.000000,10.745038,3.793672,0.000000,0.787652,1.515803,0.239750,18.548808
0.000000,0.000000,9.591482,2.999236,0.000000,1.177291,2.166946,0.033025,15.920192
0.000000,0.000000,10.123935,2.734886,0.000000,1.094734,2.187913,0.047545,17.417167
0.000000,0.000000,10.536346,3.109804,0.000000,0.853610,2.866471,0.281523,18.060652
0.000000,0.000000,9.603569,2.778344,0.000000,1.655199,2.478566,0.042981,17.207152
0.000000,0.000000,9.466354,4.383428,0.000000,2.096877,2.298591,0.038772,19.190849
0.000000,0.000000,12.325137,3.350963,0.000000,0.947542,1.977946,0.225752,21.411888
