#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
83.919037,0.059531,0.562458,0.008257,0.008257,84.561569
40.360006,0.092070,2.248963,0.001460,0.001460,42.705718
34.948422,0.436599,3.486647,0.461251,0.461251,59.888725
30.015939,0.425042,4.828370,0.352006,0.352006,49.816560
29.213400,0.360169,5.474363,0.554704,0.554704,51.330138
25.008835,0.338084,6.437080,0.508201,0.508201,49.188140
23.900754,0.366528,6.842817,0.753609,0.753609,51.067343
22.546304,0.395936,7.777236,0.962551,0.962551,54.453910
21.481081,0.434130,8.658713,0.961751,0.961751,55.674204
20.028496,0.432898,12.656181,1.833810,1.833810,66.182656
19.247042,0.537189,10.412561,1.531904,1.531904,63.779092
16.792212,0.495492,10.803734,1.476587,1.476587,62.458437
17.850689,0.448832,12.060839,2.044900,2.044900,74.461328
16.091072,0.423297,11.812301,2.919529,2.919529,84.720698
16.695559,0.462830,11.609399,2.885436,2.885436,79.753787
15.190259,0.439179,11.444228,3.455673,3.455673,80.925739
14.999263,0.455576,10.966049,3.259208,3.259208,102.156774
16.764439,0.524754,12.214553,2.651334,2.651334,91.102442
14.100453,0.759053,9.225887,1.482131,1.482131,56.460560
14.535512,0.687493,8.229805,0.970993,0.970993,55.889977
14.573455,0.684141,10.294844,0.728600,0.728600,58.666957
12.720964,0.577904,8.054851,0.910122,0.910122,40.961822
21.082816,0.678368,9.603800,1.211011,1.211011,59.101015
11.461154,0.638849,9.403503,1.254702,1.254702,44.671156
11.336747,0.545236,13.624978,2.037940,2.037940,57.989937
10.631658,0.580085,11.170599,1.013388,1.013388,50.065032
11.352155,0.566901,11.393403,1.435509,1.435509,54.155989
13.997394,0.799819,14.971662,1.312770,1.312770,70.036814
10.599098,0.733961,11.364782,2.177767,2.177767,58.080213
10.570938,0.605726,13.320909,2.092156,2.092156,63.395469
10.411432,0.609287,10.941120,1.413223,1.413223,62.837312
10.471077,0.613899,11.402366,1.698729,1.698729,63.696380
9.643242,0.592760,12.117916,1.375718,1.375718,59.444045
10.399490,0.614139,13.464191,4.842725,4.842725,82.743727
10.141216,0.529420,12.289181,3.063018,3.063018,77.074689
10.612174,0.501527,12.757053,3.662530,3.662530,87.289264
10.824001,0.638509,13.097308,5.433404,5.433404,85.270390
10.167802,0.526749,13.390570,1.773124,1.773124,70.927406
13.196035,0.680988,14.981822,1.950113,1.950113,109.668769
12.090953,0.683182,13.693739,5.077687,5.077687,87.713017
8.933729,0.601011,12.521134,2.015117,2.015117,62.499426
8.881624,0.678319,12.539253,1.983891,1.983891,73.144513
9.181376,0.619410,13.366806,3.713245,3.713245,84.904350
9.811726,0.686733,14.327836,2.034117,2.034117,71.427611
8.643294,0.682142,14.457327,2.845218,2.845218,75.030094
9.047673,0.830582,15.222215,2.731677,2.731677,75.784533
8.765130,0.885412,17.409264,2.570739,2.570739,80.817152
8.709499,1.001845,12.545318,1.578839,1.578839,68.640645
9.845238,0.872893,16.924563,4.019911,4.019911,82.992304
10.058281,0.876925,17.986968,4.703294,4.703294,87.203956
10.486512,1.247063,16.082678,1.628306,1.628306,64.265659
12.231666,1.022211,20.243464,2.100374,2.100374,71.474873
8.401245,1.057142,13.447890,0.692527,0.692527,50.871268
8.797898,0.917858,14.132317,1.913444,1.913444,59.710898
7.884893,0.922030,13.693820,1.353763,1.353763,48.087580
8.546900,0.873780,12.879358,1.129511,1.129511,54.757419
7.205368,1.004233,11.323809,1.119971,1.119971,50.672087
7.837401,1.038686,12.262738,1.847348,1.847348,55.344098
8.590576,0.898492,13.867413,1.817989,1.817989,60.182990
8.835048,0.923309,14.540995,1.567440,1.567440,65.258870
8.790227,0.795624,13.056734,1.405858,1.405858,53.639177
8.121172,0.777822,13.046673,1.319483,1.319483,50.994206
8.048129,0.743016,19.298438,1.294212,1.294212,67.187352
8.718707,0.823898,14.448792,1.344654,1.344654,56.164301
8.466077,0.728724,14.250610,1.783607,1.783607,57.138353
8.229616,0.917365,14.679066,1.132002,1.132002,53.481040
8.894521,0.811418,14.927058,1.773017,1.773017,62.927428
11.261706,1.675334,23.018284,3.098800,3.098800,93.721147
8.387927,0.843311,14.998647,3.163207,3.163207,77.978170
8.433367,0.896062,14.621499,2.001069,2.001069,80.339069
10.611407,1.257476,26.564598,2.133394,2.133394,115.821916
7.729020,0.945105,14.126258,2.481596,2.481596,73.850376
7.981408,0.683021,13.882433,3.046696,3.046696,85.596480
9.379243,0.848922,14.156519,1.968834,1.968834,72.769860
9.134675,0.727551,14.489582,3.190384,3.190384,84.262083
8.855257,0.986841,15.492672,3.674423,3.674423,85.635723
8.331550,0.679319,15.712804,2.890814,2.890814,101.693879
7.994026,0.837943,17.779058,3.878808,3.878808,91.477278
8.079734,1.098455,17.337551,2.179669,2.179669,94.753159
7.422972,0.886689,14.265988,2.252925,2.252925,98.393048
7.279849,0.808851,14.184163,1.719181,1.719181,78.973112
7.495905,0.802680,14.115893,2.254198,2.254198,79.269922
7.893996,0.803211,15.234241,5.032694,5.032694,107.017738
11.228270,1.278555,22.802575,3.305710,3.305710,149.428665
9.184527,1.233974,17.153401,4.140574,4.140574,120.136642
8.522223,0.819817,16.836210,3.953657,3.953657,106.520598
7.642156,0.748159,14.302892,7.895262,7.895262,90.205728
8.145027,0.681010,15.560495,1.836070,1.836070,68.087266
8.153533,0.671162,15.763297,4.164012,4.164012,79.037879
8.240663,0.755536,16.358459,4.205528,4.205528,93.678119
7.487159,0.793977,14.111406,1.839355,1.839355,78.853594
7.806521,0.742206,13.591098,4.059688,4.059688,91.119189
8.934587,0.861408,13.777426,1.982250,1.982250,67.197147
8.005482,0.699947,13.556003,2.279575,2.279575,67.121165
8.239030,0.799657,13.576955,1.310216,1.310216,59.803989
9.015968,0.955881,14.498067,3.291285,3.291285,78.192718
9.692325,1.176499,16.388765,4.877184,4.877184,81.914037
12.425021,1.705783,20.195574,8.468520,8.468520,116.981178
10.060432,1.237846,14.856317,3.147899,3.147899,78.130856
8.784184,1.314767,15.957055,2.260497,2.260497,74.817824
7.308534,1.787068,15.079074,1.987427,1.987427,61.681039
10.794524,1.001752,16.099143,1.460436,1.460436,64.655853
7.066614,1.077507,14.000807,2.165013,2.165013,62.820287
7.713465,0.977535,13.708191,3.419793,3.419793,67.412773
7.280445,0.933300,13.853689,1.608808,1.608808,56.067509
8.916170,0.938216,14.133803,1.884189,1.884189,62.577779
9.228767,1.074905,17.739177,2.307990,2.307990,70.744216
7.414170,0.967165,15.398722,2.023557,2.023557,71.844458
8.088151,1.088339,15.178139,3.339154,3.339154,72.688684
6.840306,0.859399,13.814212,1.364177,1.364177,57.066790
7.809390,0.791718,13.993579,1.905604,1.905604,59.925841
9.116847,0.741125,14.707697,1.545827,1.545827,66.224620
7.366699,0.736871,13.003893,2.205166,2.205166,65.742718
7.185491,1.185171,16.161211,1.488087,1.488087,69.478342
8.165242,0.975576,15.368121,3.142542,3.142542,68.434769
6.820278,0.875930,13.489705,1.750748,1.750748,56.613007
7.251812,1.143006,15.449527,2.522377,2.522377,61.285501
9.167646,0.808909,15.721418,1.979435,1.979435,68.629518
7.136242,0.859034,13.637479,1.272599,1.272599,61.987938
7.083975,0.959945,14.153867,1.857922,1.857922,62.770439
7.451999,1.018900,15.892798,1.288316,1.288316,64.441655
7.932268,0.902031,15.845697,4.615242,4.615242,84.310112
8.523834,0.881471,14.876334,1.578485,1.578485,65.890049
6.849541,0.774020,14.893091,1.661458,1.661458,70.640771
6.876761,0.927663,14.444881,2.705732,2.705732,80.698238
7.336258,0.861488,15.100188,3.213913,3.213913,87.730485
8.047106,0.771898,15.019036,2.544473,2.544473,98.523195
8.830614,1.538583,22.817586,9.574558,9.574558,107.304203
9.682993,0.756719,16.380577,8.916873,8.916873,114.915085
8.769527,0.746787,15.545318,4.293062,4.293062,94.248178
10.891351,1.021313,14.907215,9.557169,9.557169,108.024380
9.557075,0.876528,17.026011,2.235480,2.235480,124.706144
9.299836,1.196667,25.405761,2.675744,2.675744,150.302132
8.058877,0.885729,14.204583,3.393227,3.393227,119.684438
7.965504,1.268273,21.968394,3.825454,3.825454,118.693001
6.984159,1.004923,13.897230,4.536307,4.536307,91.629801
7.317420,0.942347,14.343918,3.755928,3.755928,89.385271
7.367956,0.822448,13.931882,10.963982,10.963982,95.676556
7.699683,1.197506,15.368309,6.559119,6.559119,92.934636
7.361702,1.038526,18.677342,2.809432,2.809432,147.429635
7.793412,0.819469,14.247995,4.847771,4.847771,132.358782
7.335552,0.929460,14.367805,3.224295,3.224295,110.297955
7.299978,0.840704,13.241914,2.396939,2.396939,68.063581
7.426091,0.980117,12.700508,2.035231,2.035231,60.315543
8.590722,1.021694,13.292360,2.398252,2.398252,66.691018
9.949640,0.964294,14.155024,1.489928,1.489928,59.675182
7.422794,1.159497,12.480926,2.032278,2.032278,63.940923
7.043600,1.328196,9.325656,1.062823,1.062823,42.865942
6.594137,1.222431,8.992481,0.968122,0.968122,39.033668
6.736931,1.266280,17.525683,1.280310,1.280310,61.813170
7.076016,1.217004,9.166442,5.794042,5.794042,49.348990
12.052818,1.726215,14.476747,1.499800,1.499800,56.912870
11.970634,1.012849,9.088957,0.866783,0.866783,42.058582
8.277762,1.264262,9.852075,1.538033,1.538033,44.753171
6.427941,1.165218,10.342185,2.288294,2.288294,52.766822
7.381088,1.095818,9.177138,0.791310,0.791310,37.314593
