#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,96.007746,0.000000,0.000000,57.400390,3.557790,0.084863,100.457418
0.000000,0.000000,30.592514,0.000000,0.000000,2.191282,2.293479,0.488662,93.328369
0.000000,0.000000,22.845278,0.000000,0.000000,2.571539,2.506130,0.455543,28.887835
0.000000,0.000000,25.691306,0.000000,0.000000,2.445869,2.693919,0.062990,32.074233
0.000000,0.000000,23.535664,0.000000,0.000000,2.043980,2.713433,0.620320,29.975942
0.000000,0.000000,26.477703,0.000000,0.000000,3.129597,3.177406,0.083159,33.207100
0.000000,0.000000,22.742038,0.000000,0.000000,2.110516,2.689279,0.078970,30.698582
0.000000,0.000000,23.571693,0.000000,0.000000,1.620359,2.621176,0.595079,29.788589
0.000000,0.000000,23.178188,0.000000,0.000000,2.790177,3.745491,0.091117,29.171740
0.000000,0.000000,21.246923,0.000000,0.000000,1.852351,3.305773,0.083799,29.176879
0.000000,0.000000,23.112775,0.000000,0.000000,1.352417,2.699726,0.434690,29.720541
0.000000,0.000000,22.720855,0.000000,0.000000,2.381127,3.411236,0.053926,28.397657
0.000000,0.000000,22.800415,0.000000,0.000000,1.824697,2.785385,0.051967,29.775558
0.000000,0.000000,21.297705,0.000000,0.000000,1.469428,2.564230,0.428971,27.222534
0.000000,0.000000,22.823739,0.000000,0.000000,2.612528,3.184593,0.070013,28.404695
0.000000,0.000000,21.961886,0.000000,0.000000,1.913955,2.842662,0.056880,29.585908
0.000000,0.000000,20.560753,0.000000,0.000000,1.579957,2.692840,0.066127,26.640545
0.000000,0.000000,20.111806,0.000000,0.000000,1.345211,2.539139,0.465913,25.676083
0.000000,0.000000,20.217766,0.000000,0.000000,2.777594,3.042565,0.049601,25.789252
0.000000,0.000000,20.944461,0.000000,0.000000,2.077095,3.434672,0.133685,28.142436
0.000000,0.000000,22.161196,0.000000,0.000000,1.649844,3.020219,0.060339,29.149250
0.000000,0.000000,20.179914,0.000000,0.000000,1.526796,2.680813,0.054420,26.154624
0.000000,0.000000,20.771094,0.000000,0.000000,1.362117,2.643620,0.457635,26.208384
0.000000,0.000000,20.280495,0.000000,0.000000,2.826385,3.175410,0.051101,25.904250
0.000000,0.000000,20.058700,0.000000,0.000000,2.386183,3.226623,0.054444,27.591341
0.000000,0.000000,20.834117,0.000000,0.000000,1.785415,3.166830,0.053353,27.751067
0.000000,0.000000,19.876446,0.000000,0.000000,1.598787,3.114666,0.061802,26.066723
0.000000,0.000000,21.492519,0.000000,0.000000,1.619386,2.690357,0.049914,27.569649
0.000000,0.000000,21.259688,0.000000,0.000000,1.402182,3.142453,0.075731,26.906520
0.000000,0.000000,21.518641,0.000000,0.000000,1.394633,3.386313,0.520958,27.484034
0.000000,0.000000,20.589668,0.000000,0.000000,2.930168,3.385593,0.055843,27.294014
0.000000,0.000000,20.522705,0.000000,0.000000,2.385523,3.606177,0.063632,28.304171
0.000000,0.000000,21.525586,0.000000,0.000000,2.023607,3.586900,0.063963,28.949335
0.000000,0.000000,20.738319,0.000000,0.000000,1.890574,3.149291,0.062657,27.816751
0.000000,0.000000,20.674278,0.000000,0.000000,1.654316,2.905615,0.056747,27.148316
0.000000,0.000000,20.447354,0.000000,0.000000,1.576661,2.974301,0.056597,26.348260
0.000000,0.000000,20.820822,0.000000,0.000000,1.435658,2.861529,0.544469,26.703209
0.000000,0.000000,21.040110,0.000000,0.000000,2.818751,3.514011,0.053817,27.076258
0.000000,0.000000,22.754652,0.000000,0.000000,2.315439,3.414328,0.060436,30.594609
0.000000,0.000000,24.104366,0.000000,0.000000,1.980128,3.205679,0.059727,31.309159
0.000000,0.000000,21.902811,0.000000,0.000000,1.752531,4.032352,0.093885,28.636111
0.000000,0.000000,20.958895,0.000000,0.000000,1.430719,3.135313,0.070616,28.261941
0.000000,0.000000,20.537938,0.000000,0.000000,1.673965,3.408888,0.052187,26.539810
0.000000,0.000000,19.339777,0.000000,0.000000,1.449427,3.795539,0.617593,25.926274
0.000000,0.000000,20.361390,0.000000,0.000000,3.267226,5.171165,0.101940,27.606766
0.000000,0.000000,20.761133,0.000000,0.000000,2.322391,4.749794,0.093991,31.419265
0.000000,0.000000,20.464871,0.000000,0.000000,2.065290,3.942260,0.108961,29.117124
0.000000,0.000000,20.628711,0.000000,0.000000,1.698758,3.635578,0.245781,28.309349
0.000000,0.000000,22.343480,0.000000,0.000000,1.731469,3.018855,0.792833,29.460465
0.000000,0.000000,20.300620,0.000000,0.000000,2.767714,3.466466,0.603893,27.762247
0.000000,0.000000,19.728508,0.000000,0.000000,2.132231,3.900298,0.091401,27.985917
0.000000,0.000000,20.111713,0.000000,0.000000,2.133691,3.281116,0.060711,27.678420
0.000000,0.000000,20.278289,0.000000,0.000000,1.692849,3.170334,0.615000,27.133474
0.000000,0.000000,20.809448,0.000000,0.000000,3.083969,3.762873,0.060144,27.784720
0.000000,0.000000,21.138573,0.000000,0.000000,2.785629,3.990658,0.069425,29.503343
0.000000,0.000000,21.876530,0.000000,0.000000,1.775065,3.771763,0.088796,30.102484
0.000000,0.000000,20.832224,0.000000,0.000000,1.569071,3.013724,0.645641,27.857247
0.000000,0.000000,20.223034,0.000000,0.000000,2.955831,3.498446,0.103347,27.016172
0.000000,0.000000,20.444489,0.000000,0.000000,2.067524,3.291182,0.109087,28.615535
0.000000,0.000000,21.630205,0.000000,0.000000,1.731431,3.417841,0.067274,28.687721
0.000000,0.000000,20.095006,0.000000,0.000000,1.523478,3.694788,0.545925,26.772497
0.000000,0.000000,20.757139,0.000000,0.000000,3.131091,4.129827,0.064844,27.796642
0.000000,0.000000,20.691345,0.000000,0.000000,2.299580,3.773591,0.071139,29.426238
0.000000,0.000000,21.256068,0.000000,0.000000,1.969911,3.268429,0.053536,28.788797
0.000000,0.000000,20.682988,0.000000,0.000000,1.354155,3.994188,0.641488,27.406819
0.000000,0.000000,20.300000,0.000000,0.000000,3.215714,5.181283,0.120024,27.843283
0.000000,0.000000,22.090509,0.000000,0.000000,1.823533,3.497608,0.149298,32.530875
0.000000,0.000000,20.888582,0.000000,0.000000,1.466949,3.197111,0.569310,28.034426
0.000000,0.000000,19.594605,0.000000,0.000000,2.609180,3.617662,0.053917,26.197241
0.000000,0.000000,19.979164,0.000000,0.000000,1.989893,3.265478,0.052957,27.665443
0.000000,0.000000,19.903282,0.000000,0.000000,1.325432,2.829356,0.569679,26.528341
0.000000,0.000000,19.455354,0.000000,0.000000,2.634849,3.323002,0.059921,25.467843
0.000000,0.000000,21.056094,0.000000,0.000000,1.914171,2.810030,0.078334,28.381680
0.000000,0.000000,20.861246,0.000000,0.000000,1.416713,2.527260,0.054480,26.975694
0.000000,0.000000,20.168752,0.000000,0.000000,1.115699,2.330185,0.590105,25.320830
0.000000,0.000000,19.614073,0.000000,0.000000,2.485842,2.800709,0.051549,24.698058
0.000000,0.000000,21.144786,0.000000,0.000000,1.506837,2.429093,0.075284,27.809862
0.000000,0.000000,20.427059,0.000000,0.000000,1.309303,2.622067,0.087396,25.644307
0.000000,0.000000,21.077955,0.000000,0.000000,1.763114,3.090280,0.916753,26.374898
0.000000,0.000000,24.099072,0.000000,0.000000,2.664045,2.577239,0.050419,31.525935
0.000000,0.000000,21.075704,0.000000,0.000000,1.513770,2.372412,0.046769,27.851910
0.000000,0.000000,20.722041,0.000000,0.000000,1.126061,2.360559,0.574293,25.740695
0.000000,0.000000,19.837477,0.000000,0.000000,2.523616,3.513496,0.138332,25.038424
0.000000,0.000000,22.110475,0.000000,0.000000,1.329449,2.447228,0.051332,29.836379
0.000000,0.000000,21.161054,0.000000,0.000000,1.825044,5.951692,4.223771,26.188192
0.000000,0.000000,27.666705,0.000000,0.000000,2.326340,3.015310,0.048511,42.644383
0.000000,0.000000,20.698707,0.000000,0.000000,1.434593,2.699597,0.061754,27.286497
0.000000,0.000000,20.640863,0.000000,0.000000,1.158339,2.499681,0.057154,25.983504
0.000000,0.000000,20.472764,0.000000,0.000000,1.015196,2.680913,0.597829,25.306937
0.000000,0.000000,20.544130,0.000000,0.000000,2.113211,2.758020,0.044230,26.093270
0.000000,0.000000,20.900894,0.000000,0.000000,1.265320,2.150922,0.047733,26.978185
0.000000,0.000000,20.534477,0.000000,0.000000,1.023982,2.102128,0.530241,25.239169
0.000000,0.000000,21.149900,0.000000,0.000000,2.164156,3.257877,0.069849,25.901864
