#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,35.480192,0.000000,0.000000,7.639372,2.208310,0.548484,41.009179
0.000000,0.000000,27.436061,0.000000,0.000000,1.774337,1.793042,0.497048,38.914770
0.000000,0.000000,26.461614,0.000000,0.000000,1.837980,2.004400,0.428154,31.746150
0.000000,0.000000,23.638027,0.000000,0.000000,2.168327,2.257879,0.657100,28.927767
0.000000,0.000000,25.380756,0.000000,0.000000,2.209613,3.037275,0.082018,31.604142
0.000000,0.000000,22.987390,0.000000,0.000000,1.224148,2.188368,0.488993,29.568714
0.000000,0.000000,24.198696,0.000000,0.000000,2.310782,2.964505,0.078088,29.298081
0.000000,0.000000,25.709954,0.000000,0.000000,1.364040,2.292555,0.554846,32.642288
0.000000,0.000000,23.068595,0.000000,0.000000,2.055488,2.865812,0.065777,28.365627
0.000000,0.000000,24.604390,0.000000,0.000000,1.378403,2.358538,0.535088,30.829361
0.000000,0.000000,25.518279,0.000000,0.000000,2.300028,2.664192,0.050601,30.888536
0.000000,0.000000,25.435336,0.000000,0.000000,1.374053,2.254243,0.432769,31.552325
0.000000,0.000000,23.866809,0.000000,0.000000,2.699920,3.119032,0.129297,28.874887
0.000000,0.000000,24.117806,0.000000,0.000000,1.527317,2.420819,0.477290,31.526366
0.000000,0.000000,24.367390,0.000000,0.000000,2.633904,2.774686,0.057939,29.892065
0.000000,0.000000,23.507009,0.000000,0.000000,1.623990,2.800491,0.521453,30.131953
0.000000,0.000000,27.887023,0.000000,0.000000,2.820270,3.324686,0.084591,34.308891
0.000000,0.000000,24.151602,0.000000,0.000000,1.610909,3.312510,0.517447,31.891394
0.000000,0.000000,24.077144,0.000000,0.000000,2.454994,3.400563,0.073007,30.907094
0.000000,0.000000,25.259102,0.000000,0.000000,1.796516,3.796009,0.520605,32.424104
0.000000,0.000000,24.131436,0.000000,0.000000,2.287755,3.422981,0.057039,31.524092
0.000000,0.000000,24.125200,0.000000,0.000000,1.475055,2.571156,0.431803,31.112944
0.000000,0.000000,23.175918,0.000000,0.000000,1.965850,2.831692,0.046367,28.782774
