#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,32.611228,0.000000,0.000000,6.890810,2.418104,0.435437,36.107815
0.000000,0.000000,21.236723,0.000000,0.000000,1.926155,1.913210,0.372717,32.084143
0.000000,0.000000,20.822002,0.000000,0.000000,1.772219,2.079890,0.410660,25.974304
0.000000,0.000000,21.777745,0.000000,0.000000,1.655329,1.882604,0.401737,27.027610
0.000000,0.000000,21.180274,0.000000,0.000000,1.599017,1.901284,0.399821,25.971698
0.000000,0.000000,20.221281,0.000000,0.000000,1.550375,1.960293,0.336811,24.979185
0.000000,0.000000,20.564631,0.000000,0.000000,1.619763,1.959963,0.350950,25.289644
0.000000,0.000000,20.951076,0.000000,0.000000,2.065117,2.130855,0.384745,25.716890
0.000000,0.000000,21.949427,0.000000,0.000000,1.751431,2.334549,0.412400,27.600642
0.000000,0.000000,21.111015,0.000000,0.000000,1.616403,2.176065,0.396769,26.610755
0.000000,0.000000,21.915393,0.000000,0.000000,1.563357,2.091737,0.356198,27.176690
0.000000,0.000000,20.130375,0.000000,0.000000,1.505131,1.929325,0.391077,25.065464
0.000000,0.000000,20.970947,0.000000,0.000000,1.496965,2.178981,0.040801,25.693783
0.000000,0.000000,20.558498,0.000000,0.000000,0.878550,1.603362,0.383724,25.228468
0.000000,0.000000,20.479313,0.000000,0.000000,1.634434,2.517713,0.055280,24.252404
0.000000,0.000000,23.224601,0.000000,0.000000,0.931745,1.902097,0.387512,28.489504
0.000000,0.000000,22.111983,0.000000,0.000000,1.609629,2.327404,0.048537,26.242045
0.000000,0.000000,21.898797,0.000000,0.000000,1.082746,2.165882,0.454405,26.971209
0.000000,0.000000,21.747375,0.000000,0.000000,1.627981,2.461672,0.052254,26.529687
0.000000,0.000000,22.714942,0.000000,0.000000,1.004179,2.159510,0.434615,27.944935
0.000000,0.000000,21.976353,0.000000,0.000000,1.657072,2.347503,0.039939,26.571140
0.000000,0.000000,24.334316,0.000000,0.000000,1.223326,2.087049,0.382451,29.439222
0.000000,0.000000,21.379082,0.000000,0.000000,1.616364,2.258464,0.042765,26.074433
0.000000,0.000000,21.101254,0.000000,0.000000,1.142849,2.228885,0.361271,25.980364
0.000000,0.000000,21.050544,0.000000,0.000000,1.716323,2.390558,0.039409,25.717360
0.000000,0.000000,21.856331,0.000000,0.000000,1.042118,2.061692,0.372183,26.963827
0.000000,0.000000,22.726665,0.000000,0.000000,1.625743,2.238955,0.038657,27.047664
0.000000,0.000000,20.705885,0.000000,0.000000,0.952821,2.034708,0.388444,25.490036
0.000000,0.000000,20.821796,0.000000,0.000000,1.929948,2.311159,0.042314,25.082864
0.000000,0.000000,22.053367,0.000000,0.000000,0.987349,2.241441,0.384236,27.454428
0.000000,0.000000,22.088695,0.000000,0.000000,1.670592,2.381530,0.055962,26.734340
0.000000,0.000000,21.984429,0.000000,0.000000,1.130424,2.309186,0.384928,27.144549
0.000000,0.000000,21.155952,0.000000,0.000000,1.752992,2.864483,0.045751,26.086135
0.000000,0.000000,21.111507,0.000000,0.000000,1.180138,2.588021,0.475450,26.764601
0.000000,0.000000,21.055756,0.000000,0.000000,2.313813,3.047278,0.077365,26.245445
0.000000,0.000000,21.171988,0.000000,0.000000,1.178024,2.538942,0.408016,30.406337
0.000000,0.000000,20.438604,0.000000,0.000000,1.783614,2.794202,0.043998,25.580375
0.000000,0.000000,21.759833,0.000000,0.000000,1.145979,2.374012,0.373286,27.521755
0.000000,0.000000,23.506042,0.000000,0.000000,1.835427,2.852869,0.045491,28.575599
0.000000,0.000000,22.062136,0.000000,0.000000,1.120359,2.446387,0.409287,27.786553
0.000000,0.000000,20.818172,0.000000,0.000000,1.865687,3.111156,0.058156,25.889574
0.000000,0.000000,21.262450,0.000000,0.000000,1.064850,3.231046,0.420752,27.702776
0.000000,0.000000,20.963303,0.000000,0.000000,2.006526,3.230115,0.054810,26.700072
0.000000,0.000000,21.339639,0.000000,0.000000,1.221004,3.315445,0.408197,27.935136
0.000000,0.000000,20.933414,0.000000,0.000000,2.190453,3.005094,0.045762,27.068812
0.000000,0.000000,20.885868,0.000000,0.000000,1.414601,3.025174,0.633137,27.175165
0.000000,0.000000,21.473405,0.000000,0.000000,2.234873,4.652581,0.091353,27.822311
0.000000,0.000000,23.703367,0.000000,0.000000,1.602748,3.355936,0.065841,32.173830
0.000000,0.000000,21.170358,0.000000,0.000000,1.445933,3.397700,0.449921,27.330557
0.000000,0.000000,20.827442,0.000000,0.000000,2.185573,4.842972,0.090000,27.275256
0.000000,0.000000,20.996209,0.000000,0.000000,1.522397,3.685496,0.084720,29.709447
0.000000,0.000000,23.825225,0.000000,0.000000,1.160527,2.779231,0.556165,30.206857
0.000000,0.000000,21.264949,0.000000,0.000000,1.889578,3.591611,0.052035,26.825036
0.000000,0.000000,20.972524,0.000000,0.000000,1.355568,3.815919,0.168688,27.633468
0.000000,0.000000,20.570277,0.000000,0.000000,1.152080,3.877613,0.393630,27.252272
0.000000,0.000000,20.573945,0.000000,0.000000,1.901512,3.313863,0.040912,27.046521
0.000000,0.000000,21.427066,0.000000,0.000000,1.513945,2.965475,0.586065,28.016114
0.000000,0.000000,20.497101,0.000000,0.000000,1.297911,3.472040,0.362096,26.632650
0.000000,0.000000,21.196583,0.000000,0.000000,1.838866,4.204238,0.049419,27.366953
0.000000,0.000000,20.782092,0.000000,0.000000,1.503754,3.898335,0.044008,28.010523
0.000000,0.000000,19.583649,0.000000,0.000000,1.312947,3.075686,0.409813,26.182859
0.000000,0.000000,20.325485,0.000000,0.000000,1.960306,3.063051,0.045943,26.134471
0.000000,0.000000,21.026815,0.000000,0.000000,1.468769,3.158893,0.048758,27.139639
0.000000,0.000000,20.460638,0.000000,0.000000,1.209218,2.819843,0.403460,26.134561
0.000000,0.000000,20.269703,0.000000,0.000000,1.909156,3.264962,0.041374,25.782985
0.000000,0.000000,20.124601,0.000000,0.000000,1.351138,3.189357,0.406377,26.422687
0.000000,0.000000,20.339651,0.000000,0.000000,2.257349,3.786324,0.079472,26.253954
0.000000,0.000000,21.451932,0.000000,0.000000,1.496116,3.056219,0.046573,28.926004
0.000000,0.000000,20.279545,0.000000,0.000000,1.179531,2.760058,0.514831,25.921840
0.000000,0.000000,20.006166,0.000000,0.000000,2.610591,3.059884,0.087186,25.501438
0.000000,0.000000,20.403898,0.000000,0.000000,1.676125,3.112519,0.052554,27.227626
0.000000,0.000000,21.016113,0.000000,0.000000,1.359947,3.016747,0.495088,26.926127
0.000000,0.000000,19.941906,0.000000,0.000000,2.351565,3.357038,0.050891,25.873490
0.000000,0.000000,20.533507,0.000000,0.000000,1.695429,2.999586,0.057894,27.562878
0.000000,0.000000,20.660786,0.000000,0.000000,1.415872,2.503778,0.498494,26.532763
0.000000,0.000000,20.126684,0.000000,0.000000,2.481317,3.213100,0.049448,25.679902
0.000000,0.000000,20.405278,0.000000,0.000000,1.497364,3.047603,0.073391,27.268359
0.000000,0.000000,21.108038,0.000000,0.000000,1.229894,2.621930,0.559493,27.016428
0.000000,0.000000,20.511338,0.000000,0.000000,2.607764,3.434607,0.056011,26.063601
0.000000,0.000000,20.665504,0.000000,0.000000,1.929699,3.089121,0.059377,28.035075
0.000000,0.000000,20.834147,0.000000,0.000000,1.398181,2.899777,0.598374,27.251237
0.000000,0.000000,19.510939,0.000000,0.000000,2.523803,3.695798,0.153927,25.774337
0.000000,0.000000,19.697635,0.000000,0.000000,1.571222,2.773722,0.052294,27.555577
0.000000,0.000000,20.425682,0.000000,0.000000,1.189877,2.899257,0.605568,26.077002
0.000000,0.000000,20.653912,0.000000,0.000000,2.516690,3.055767,0.060770,26.568715
0.000000,0.000000,21.208383,0.000000,0.000000,1.339526,3.081434,0.104708,28.220104
0.000000,0.000000,20.810173,0.000000,0.000000,0.992723,3.023510,0.645900,26.633522
0.000000,0.000000,22.028440,0.000000,0.000000,2.288470,3.079280,0.057163,28.018227
0.000000,0.000000,21.131070,0.000000,0.000000,1.737290,2.838387,0.067831,28.037423
0.000000,0.000000,20.685088,0.000000,0.000000,0.986435,2.397283,0.585984,26.725777
0.000000,0.000000,20.864179,0.000000,0.000000,2.212421,3.170906,0.074014,25.995762
0.000000,0.000000,22.277412,0.000000,0.000000,1.281456,2.743576,0.068754,28.990681
0.000000,0.000000,20.424208,0.000000,0.000000,0.965868,2.280153,0.566149,25.702885
0.000000,0.000000,21.451697,0.000000,0.000000,2.414043,3.017099,0.051172,26.401162
0.000000,0.000000,20.315707,0.000000,0.000000,1.404647,2.635151,0.049309,27.067495
0.000000,0.000000,20.566927,0.000000,0.000000,0.925074,2.496061,0.584742,25.813296
0.000000,0.000000,20.660373,0.000000,0.000000,2.124493,2.963221,0.049128,25.796664
0.000000,0.000000,20.620030,0.000000,0.000000,1.248686,2.907792,0.078842,27.035032
0.000000,0.000000,21.031510,0.000000,0.000000,0.861941,2.460547,0.634391,26.520776
0.000000,0.000000,20.644805,0.000000,0.000000,2.200806,2.774900,0.049298,25.936175
0.000000,0.000000,21.104328,0.000000,0.000000,1.207215,3.192956,0.098798,27.364593
0.000000,0.000000,20.741768,0.000000,0.000000,0.834489,3.027957,0.664088,26.538663
0.000000,0.000000,20.488561,0.000000,0.000000,2.030621,3.964359,0.093868,26.097700
0.000000,0.000000,20.379583,0.000000,0.000000,1.282436,2.793638,2.047676,27.759042
0.000000,0.000000,21.654892,0.000000,0.000000,0.868146,2.396033,0.656083,29.302871
0.000000,0.000000,21.061838,0.000000,0.000000,1.820981,2.706242,0.044088,26.286928
0.000000,0.000000,20.013311,0.000000,0.000000,0.959449,2.342856,0.048036,25.941097
0.000000,0.000000,20.434643,0.000000,0.000000,0.661343,1.938067,0.460441,24.846046
0.000000,0.000000,20.366796,0.000000,0.000000,1.671854,2.259019,0.039249,24.403521
0.000000,0.000000,19.989863,0.000000,0.000000,1.158010,2.156150,0.039699,25.036508
0.000000,0.000000,21.519467,0.000000,0.000000,0.852698,2.363455,0.580763,25.960314
0.000000,0.000000,20.845263,0.000000,0.000000,1.760798,2.417313,0.045250,25.769438
0.000000,0.000000,21.170915,0.000000,0.000000,1.196166,2.280339,0.044629,26.474160
0.000000,0.000000,20.600592,0.000000,0.000000,0.900915,2.018564,0.459431,25.175598
0.000000,0.000000,20.537155,0.000000,0.000000,1.823043,2.477774,0.040591,24.896728
0.000000,0.000000,21.547128,0.000000,0.000000,1.059854,2.297443,0.040401,27.131235
0.000000,0.000000,20.545460,0.000000,0.000000,0.890724,2.232052,0.511976,24.954063
0.000000,0.000000,20.547074,0.000000,0.000000,2.966333,4.366097,0.090992,25.218994
0.000000,0.000000,25.354363,0.000000,0.000000,1.393947,2.585157,0.056283,34.970321
0.000000,0.000000,22.073714,0.000000,0.000000,0.955296,2.358984,0.491336,27.191264
0.000000,0.000000,20.355337,0.000000,0.000000,2.155896,2.834598,0.045201,25.208796
0.000000,0.000000,20.171450,0.000000,0.000000,1.436263,2.574596,0.050511,26.347845
0.000000,0.000000,20.391449,0.000000,0.000000,1.035327,2.332922,0.497508,25.583257
0.000000,0.000000,21.229931,0.000000,0.000000,2.127222,2.969980,0.079159,26.137149
0.000000,0.000000,21.441974,0.000000,0.000000,1.244598,3.330262,0.081985,27.749814
0.000000,0.000000,20.595729,0.000000,0.000000,0.791869,3.148328,0.497648,26.363172
0.000000,0.000000,19.588978,0.000000,0.000000,2.082038,2.743805,0.046353,25.031610
0.000000,0.000000,20.307882,0.000000,0.000000,1.057732,2.329434,0.048157,26.236598
0.000000,0.000000,20.611290,0.000000,0.000000,0.698364,2.038548,0.534093,25.069506
0.000000,0.000000,19.257685,0.000000,0.000000,1.950214,2.608603,0.047346,23.594943
0.000000,0.000000,20.449288,0.000000,0.000000,0.892554,2.418481,0.523592,26.045299
0.000000,0.000000,20.731808,0.000000,0.000000,1.909698,3.586499,0.084940,25.609983
0.000000,0.000000,21.213417,0.000000,0.000000,0.916922,2.703845,0.551017,28.179378
0.000000,0.000000,20.513229,0.000000,0.000000,1.761841,2.870209,0.046784,25.862029
0.000000,0.000000,23.566095,0.000000,0.000000,1.058778,2.332759,0.486198,29.485542
0.000000,0.000000,20.059377,0.000000,0.000000,1.879106,2.878635,0.061453,24.989466
0.000000,0.000000,20.475273,0.000000,0.000000,1.227927,2.420915,0.580807,26.496555
0.000000,0.000000,21.202284,0.000000,0.000000,1.852483,3.103999,0.105503,26.544571
0.000000,0.000000,21.227491,0.000000,0.000000,1.135225,2.458379,0.599025,27.756626
0.000000,0.000000,19.261344,0.000000,0.000000,1.912680,4.801706,0.063017,24.750485
0.000000,0.000000,20.926160,0.000000,0.000000,1.121798,2.656809,0.467993,28.949400
0.000000,0.000000,20.221948,0.000000,0.000000,2.018583,3.663675,0.084981,25.549352
0.000000,0.000000,21.285839,0.000000,0.000000,1.113697,2.517918,0.521845,28.303807
0.000000,0.000000,20.445235,0.000000,0.000000,2.094360,2.624007,0.044175,25.696004
0.000000,0.000000,21.319516,0.000000,0.000000,1.003411,2.861891,0.522305,27.226678
0.000000,0.000000,20.112591,0.000000,0.000000,1.981840,2.700367,0.050746,25.628640
