#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.227763,0.066229,0.700939,0.006810,0.006810,8.011834
6.911954,0.105401,1.902693,0.001303,0.001303,8.923584
7.080936,0.449753,2.890311,0.440842,0.440842,22.810844
6.750990,0.389392,4.064697,0.488745,0.488745,27.406594
7.120186,0.368651,4.976705,0.599407,0.599407,30.586140
7.018944,0.390625,5.819464,0.720168,0.720168,35.680735
7.164935,0.405342,6.702128,0.796898,0.796898,38.009063
6.744972,0.458313,7.662649,0.986751,0.986751,41.844106
7.245462,0.428129,8.205608,1.285235,1.285235,46.857484
7.445637,0.454046,9.273589,1.487109,1.487109,53.419714
8.072000,0.526973,10.171678,1.845051,1.845051,59.237636
7.307312,0.543648,9.685720,1.961105,1.961105,62.800527
7.828844,0.589854,11.131198,2.127148,2.127148,69.170063
7.535894,0.665072,10.835086,3.028878,3.028878,73.223705
7.524575,1.223239,11.492578,3.790133,3.790133,85.750844
6.889583,1.005109,13.261698,3.722486,3.722486,95.129158
7.270567,0.607168,13.314221,3.044133,3.044133,107.071343
7.106802,0.625491,14.542126,4.359955,4.359955,124.801210
6.866089,0.653994,14.340954,4.329093,4.329093,120.785996
7.149797,0.746586,14.845807,6.200814,6.200814,135.350790
7.149848,0.676925,13.055325,7.212172,7.212172,143.152271
7.146376,0.700536,13.028930,4.465125,4.465125,153.660152
8.183007,0.769570,14.428251,5.803893,5.803893,143.090220
7.436351,0.797130,15.090348,3.856208,3.856208,139.185668
7.719150,1.045893,13.979804,5.386543,5.386543,126.764662
8.131656,0.847459,13.965641,4.315637,4.315637,125.262537
6.851362,0.905221,14.728694,6.356725,6.356725,95.281631
6.507459,0.775918,14.499658,5.052459,5.052459,98.082491
6.737122,0.757930,13.647463,4.420539,4.420539,128.440720
6.879355,0.696588,14.519327,3.113384,3.113384,117.943088
6.872415,0.598044,13.027940,3.068634,3.068634,116.861264
7.163780,0.779343,13.325101,4.774731,4.774731,127.737363
7.102187,0.719490,13.999810,4.342640,4.342640,121.516481
6.861295,0.791758,12.988235,4.765859,4.765859,129.103942
7.139729,0.836385,12.994153,5.009896,5.009896,134.541671
6.912588,0.710609,12.780226,3.409016,3.409016,137.191061
6.816405,0.812508,13.353262,5.155744,5.155744,143.202382
7.500466,0.694351,13.280427,5.659882,5.659882,151.809435
7.797009,0.682272,13.154880,3.433845,3.433845,137.769423
7.960516,0.744330,13.387538,3.847466,3.847466,139.906406
7.538739,0.766996,13.046164,3.499464,3.499464,141.219022
8.583338,0.936939,15.418296,5.382976,5.382976,153.523787
8.725985,0.720844,14.445810,4.619471,4.619471,127.744383
7.531433,0.852570,15.806545,5.745696,5.745696,148.602590
7.174742,0.791142,13.403185,2.956925,2.956925,120.332818
7.214888,0.770760,12.989600,4.338225,4.338225,120.463487
7.065426,0.743547,12.942208,4.581551,4.581551,124.875731
