#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,83.751650,0.000000,0.000000,9.153190,4.588506,0.071695,87.679831
0.000000,0.000000,24.020214,0.000000,0.000000,2.921522,2.580545,0.064723,39.342751
0.000000,0.000000,20.915919,0.000000,0.000000,2.565621,2.374158,0.518376,27.414938
0.000000,0.000000,21.239589,0.000000,0.000000,3.697014,2.709598,0.431485,27.420191
0.000000,0.000000,21.017126,0.000000,0.000000,3.643343,3.535076,0.089204,28.694924
0.000000,0.000000,24.135035,0.000000,0.000000,2.726341,2.737500,0.534968,32.440815
0.000000,0.000000,20.061606,0.000000,0.000000,3.793518,3.281880,0.062923,27.096147
0.000000,0.000000,22.297635,0.000000,0.000000,2.430772,3.136566,0.480749,30.514889
0.000000,0.000000,20.407726,0.000000,0.000000,3.332146,3.698928,0.057191,27.602539
0.000000,0.000000,20.087665,0.000000,0.000000,2.396951,3.300983,0.499186,28.465210
0.000000,0.000000,20.311113,0.000000,0.000000,3.472831,3.784826,0.060032,27.622604
0.000000,0.000000,20.036688,0.000000,0.000000,2.490884,3.414103,0.487855,28.711493
0.000000,0.000000,19.534643,0.000000,0.000000,3.402904,3.625138,0.055736,27.233586
0.000000,0.000000,20.382010,0.000000,0.000000,2.259983,3.533660,0.459486,28.790598
0.000000,0.000000,20.013658,0.000000,0.000000,3.248473,3.839849,0.059104,27.562144
0.000000,0.000000,19.822285,0.000000,0.000000,2.224521,3.439973,0.500914,28.596012
0.000000,0.000000,19.822659,0.000000,0.000000,3.496579,4.018031,0.057648,27.334166
0.000000,0.000000,20.056453,0.000000,0.000000,2.583655,3.460935,0.057112,29.150949
0.000000,0.000000,19.868018,0.000000,0.000000,2.108750,3.387341,0.550665,27.279779
0.000000,0.000000,20.601505,0.000000,0.000000,3.526643,3.745575,0.060732,28.047699
0.000000,0.000000,20.275062,0.000000,0.000000,2.297843,3.482665,0.057718,29.085879
0.000000,0.000000,19.732568,0.000000,0.000000,2.214146,3.269678,0.534152,26.887062
0.000000,0.000000,21.240284,0.000000,0.000000,3.175880,4.410849,0.082857,28.870080
0.000000,0.000000,20.628807,0.000000,0.000000,2.059133,3.888042,0.094386,30.022223
0.000000,0.000000,19.528228,0.000000,0.000000,1.471565,3.170248,0.844507,26.878082
0.000000,0.000000,21.759989,0.000000,0.000000,3.055865,3.730353,0.084543,28.606111
0.000000,0.000000,21.124809,0.000000,0.000000,1.825550,3.409749,0.067561,29.326361
0.000000,0.000000,21.523372,0.000000,0.000000,1.428343,3.103569,0.563747,28.214597
0.000000,0.000000,20.400947,0.000000,0.000000,3.318371,3.947236,0.058720,26.766571
0.000000,0.000000,20.186124,0.000000,0.000000,2.066992,3.879868,0.120180,28.971333
0.000000,0.000000,20.271936,0.000000,0.000000,1.319704,3.166465,0.698259,27.748777
0.000000,0.000000,20.423281,0.000000,0.000000,2.841976,4.215033,0.057688,27.005575
0.000000,0.000000,20.397413,0.000000,0.000000,1.690774,3.672074,0.670072,28.844892
0.000000,0.000000,19.727503,0.000000,0.000000,2.848587,3.698927,0.067337,27.513278
0.000000,0.000000,19.521196,0.000000,0.000000,1.432960,3.081389,0.581103,27.423325
0.000000,0.000000,19.957000,0.000000,0.000000,2.855083,3.506093,0.057198,26.292770
0.000000,0.000000,20.944504,0.000000,0.000000,1.616243,3.497239,0.546538,28.611494
0.000000,0.000000,20.403065,0.000000,0.000000,2.715441,4.223347,0.140988,27.286658
0.000000,0.000000,20.643859,0.000000,0.000000,1.645899,3.575960,0.571966,29.154147
0.000000,0.000000,20.270131,0.000000,0.000000,3.051246,3.913212,0.072822,27.364659
0.000000,0.000000,20.715729,0.000000,0.000000,1.591878,3.626105,0.579959,29.341031
0.000000,0.000000,19.869731,0.000000,0.000000,3.361453,4.834299,0.135433,27.031596
0.000000,0.000000,21.142811,0.000000,0.000000,1.641089,3.644272,0.628657,31.178075
0.000000,0.000000,20.190042,0.000000,0.000000,3.043113,5.085322,0.151246,27.519859
0.000000,0.000000,20.868485,0.000000,0.000000,1.503465,3.694603,0.664658,30.916129
0.000000,0.000000,19.803354,0.000000,0.000000,3.479180,4.658475,0.135488,27.117646
0.000000,0.000000,20.790715,0.000000,0.000000,1.458579,3.565501,0.694676,30.614659
0.000000,0.000000,20.995536,0.000000,0.000000,2.936924,4.897863,0.180040,28.049740
0.000000,0.000000,20.280017,0.000000,0.000000,1.532825,3.621805,0.665954,29.814563
0.000000,0.000000,20.392377,0.000000,0.000000,4.361539,7.600115,0.275956,27.653616
0.000000,0.000000,22.229639,0.000000,0.000000,1.417944,3.664251,0.649375,36.714911
0.000000,0.000000,20.118902,0.000000,0.000000,3.000286,5.206969,0.217709,27.271189
0.000000,0.000000,21.173409,0.000000,0.000000,1.903110,4.442003,0.876107,31.335078
0.000000,0.000000,20.436404,0.000000,0.000000,2.828385,5.137960,0.198373,29.251068
0.000000,0.000000,21.588691,0.000000,0.000000,1.368659,4.125412,0.591880,31.872425
0.000000,0.000000,20.206629,0.000000,0.000000,2.924241,4.786565,0.084731,27.710032
