#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.995777,0.037081,0.323740,0.005354,0.005354,5.367005
0.859043,0.110839,1.742475,0.002406,0.002406,2.716514
5.719647,0.319855,2.936833,0.053075,0.053075,18.278523
5.657382,0.161478,4.011797,0.107346,0.107346,18.100648
5.187759,0.142746,5.383919,0.178407,0.178407,22.244647
5.247564,0.174693,6.138212,0.195840,0.195840,26.998272
5.318940,0.184925,8.982700,0.262318,0.262318,28.985897
6.205059,0.250094,8.796365,0.223400,0.223400,32.559061
5.600945,0.259167,9.667027,0.237628,0.237628,34.306490
5.077234,0.246500,11.406590,0.254233,0.254233,35.243580
4.894092,0.279859,12.243934,0.280796,0.280796,37.460414
6.530284,0.197422,12.181162,0.391448,0.391448,40.811844
6.325278,0.227872,12.582180,0.422655,0.422655,45.078376
5.668235,0.254777,12.435456,0.368169,0.368169,44.881025
5.417889,0.243022,13.019491,0.534112,0.534112,50.054472
5.674408,0.267349,13.127020,0.663450,0.663450,52.211752
5.349618,0.225223,13.372629,0.819567,0.819567,54.570594
5.284587,0.264913,13.378161,0.801258,0.801258,57.102276
5.447390,0.207986,14.204632,1.349337,1.349337,66.492196
5.431436,0.239492,13.900143,1.016200,1.016200,75.404271
5.674870,0.299926,14.303907,1.002771,1.002771,81.271047
6.618443,0.314191,15.639700,1.535369,1.535369,87.906748
5.840642,0.238923,14.506898,1.431166,1.431166,100.037599
5.844396,0.272171,15.323302,2.169195,2.169195,104.604816
5.538989,0.230650,15.026876,1.329237,1.329237,105.870514
5.461100,0.235642,14.550641,1.540063,1.540063,116.767575
5.954317,0.256022,15.306373,1.427819,1.427819,124.300888
5.626447,0.240533,14.934436,1.247536,1.247536,115.346801
5.314091,0.239030,16.306793,2.045083,2.045083,105.700302
7.210435,0.270589,15.141549,2.126306,2.126306,73.647674
5.754086,0.330582,15.201349,1.589576,1.589576,80.965112
5.748326,0.282037,14.949954,1.531541,1.531541,69.661525
6.071025,0.288141,14.640990,1.690837,1.690837,66.382766
5.264716,0.246105,14.358387,1.566685,1.566685,64.884729
6.060100,0.266240,13.891174,1.850207,1.850207,67.204942
5.616432,0.287899,13.544019,1.861091,1.861091,75.405406
5.840201,0.251875,13.536829,1.715828,1.715828,70.852765
5.318401,0.248848,13.412233,1.451260,1.451260,69.147562
5.827075,0.250523,13.345874,1.357307,1.357307,65.168447
5.049394,0.242371,13.203641,2.420472,2.420472,71.155583
5.248308,0.295252,13.233780,1.413360,1.413360,52.428152
5.321176,0.320620,12.964886,1.120319,1.120319,53.338427
5.408342,0.349682,13.174233,1.200209,1.200209,48.979335
5.518515,0.347646,12.942793,1.189679,1.189679,51.842220
4.828532,0.312616,13.024853,1.158737,1.158737,47.855024
5.082361,0.328158,13.049811,2.379327,2.379327,50.419382
5.186132,0.351893,13.670173,1.212688,1.212688,46.350989
4.807008,0.292281,13.456762,1.153784,1.153784,45.071211
4.852196,0.281219,13.257065,0.834796,0.834796,46.282308
5.472876,0.300469,13.662217,1.347980,1.347980,54.872380
4.943604,0.332265,13.648753,1.454372,1.454372,55.739120
5.175272,0.278466,13.793716,2.166244,2.166244,53.219566
4.994730,0.276902,13.691273,2.476912,2.476912,49.922811
5.463493,0.354802,13.917081,1.821390,1.821390,63.719432
5.290366,0.335249,14.879187,1.667263,1.667263,63.050478
5.219897,0.329387,13.900188,1.247158,1.247158,62.355697
4.881461,0.280326,13.216807,1.729743,1.729743,56.873091
4.927770,0.340923,12.970659,1.266791,1.266791,51.712042
5.125876,0.383470,13.516023,1.677786,1.677786,55.103005
5.737507,0.446417,13.841157,1.442630,1.442630,46.325139
5.451907,0.430716,13.782608,2.145102,2.145102,50.754512
5.307830,0.481237,13.325144,1.577495,1.577495,48.333575
5.210986,0.402100,13.064022,1.893960,1.893960,47.716597
4.899787,0.374413,12.997327,1.804260,1.804260,48.061073
5.222101,0.377945,11.146087,1.367697,1.367697,35.726980
5.062789,0.363142,13.569084,1.576018,1.576018,39.305577
5.026282,0.367067,15.191387,1.673352,1.673352,38.466924
5.215686,0.351458,12.474443,1.163367,1.163367,32.402082
4.711187,0.257808,14.968282,1.739273,1.739273,40.220970
6.745923,0.385747,11.609554,1.500411,1.500411,34.610867
6.096027,0.379318,12.204041,0.974814,0.974814,33.182695
5.859253,0.343265,11.803831,1.274648,1.274648,31.759028
5.516621,0.380264,11.931912,1.459799,1.459799,32.021964
4.722783,0.324452,12.009122,1.483791,1.483791,31.380484
4.770625,0.317948,12.391547,1.186474,1.186474,31.532168
4.804608,0.310717,11.415875,0.882487,0.882487,29.789015
4.793804,0.297805,12.736556,0.908313,0.908313,32.218923
4.774285,0.282920,10.739456,1.475946,1.475946,29.456908
5.350278,0.250593,12.772690,1.172921,1.172921,32.650082
6.215652,0.311234,12.488317,1.012315,1.012315,34.739802
5.735114,0.291633,13.176867,1.162021,1.162021,34.091559
5.932753,0.306334,14.774740,1.752325,1.752325,40.141243
5.263947,0.328263,13.477942,0.864536,0.864536,36.769995
5.385594,0.402721,13.883579,0.989110,0.989110,37.273690
4.963865,0.398154,14.193195,1.174110,1.174110,38.746413
5.430931,0.353903,13.786834,0.784948,0.784948,35.896729
5.424369,0.385743,10.083488,0.868581,0.868581,28.949234
5.083640,0.401177,11.006331,0.828057,0.828057,29.586819
5.165589,0.299393,12.075295,1.062971,1.062971,32.954095
5.529504,0.318457,13.007285,0.845635,0.845635,35.320132
5.274643,0.327697,13.581755,1.027005,1.027005,35.444214
5.532057,0.332714,14.820134,0.985822,0.985822,39.212782
5.768847,0.273012,14.936934,1.383613,1.383613,41.692123
6.547785,0.266644,14.664815,1.128544,1.128544,45.231839
5.546295,0.281527,14.293989,1.150809,1.150809,41.984638
5.740399,0.321899,14.538272,1.058219,1.058219,46.800753
5.717392,0.303770,13.817183,0.968494,0.968494,47.835895
5.479664,0.427383,13.624293,1.065974,1.065974,48.611827
5.323906,0.503659,13.115517,1.284648,1.284648,44.798719
5.667165,0.341018,13.675090,1.312502,1.312502,50.255787
6.356510,0.299372,13.898154,1.097925,1.097925,56.801783
6.016290,0.272517,14.156789,1.297294,1.297294,60.625714
5.668540,0.285292,14.632973,1.102433,1.102433,58.685276
5.907780,0.256341,14.455345,1.242296,1.242296,63.520871
6.314008,0.233035,14.248795,1.182781,1.182781,64.036894
6.795835,0.240914,14.702620,1.569691,1.569691,72.825930
5.881836,0.341656,14.220353,1.557964,1.557964,73.037859
6.014167,0.306080,14.253199,1.178586,1.178586,67.959063
5.914220,0.321601,13.904092,1.822535,1.822535,63.936770
5.596726,0.446475,13.515146,1.749766,1.749766,67.919522
5.769351,0.400432,13.452803,1.634989,1.634989,67.626734
5.098702,0.420736,14.178124,1.643010,1.643010,75.579887
5.054920,0.373792,14.460517,2.017292,2.017292,71.201706
5.291199,0.434237,14.412924,1.605097,1.605097,77.574377
5.295600,0.532255,13.501457,1.618208,1.618208,59.639354
5.616505,0.423847,12.818181,1.662017,1.662017,60.619577
4.945070,0.318105,12.567399,1.689392,1.689392,44.150585
4.824460,0.303016,11.929606,1.449963,1.449963,37.700074
5.438178,0.473549,10.784823,1.497791,1.497791,36.529312
5.297261,0.449717,12.216985,1.268953,1.268953,34.630724
4.878447,0.425655,11.897096,1.390302,1.390302,34.152207
6.277299,0.462441,12.085553,1.088610,1.088610,35.687260
5.757563,0.483672,11.386090,0.709746,0.709746,33.399942
6.856898,0.382001,12.552937,0.646236,0.646236,36.147087
6.410517,0.334535,10.189918,0.949600,0.949600,29.380375
6.106420,0.291927,11.922268,0.885754,0.885754,31.721008
6.861981,0.270197,9.468086,0.731673,0.731673,27.667036
6.535632,0.301558,11.731880,1.483292,1.483292,32.443471
7.229323,0.354420,9.773898,0.840557,0.840557,28.708556
4.988342,0.335316,10.362102,0.899884,0.899884,26.222143
5.314833,0.266751,10.104578,0.809943,0.809943,26.885105
4.874690,0.355166,12.134359,0.669659,0.669659,29.805266
4.608125,0.383389,11.182788,0.524808,0.524808,28.943060
5.149431,0.446454,15.774081,0.660668,0.660668,34.784881
4.573188,0.308879,9.874086,0.498106,0.498106,23.870312
4.991791,0.323969,11.199677,0.583396,0.583396,25.109724
4.850258,0.153440,14.018145,0.534798,0.534798,29.095881
7.743216,0.250947,11.411349,0.624901,0.624901,30.739006
6.444210,0.331218,12.391015,0.571035,0.571035,31.755282
5.220952,0.338487,14.338416,0.690224,0.690224,33.122057
4.978301,0.299320,15.000562,0.785225,0.785225,35.719460
4.868803,0.281697,13.578966,0.837089,0.837089,36.417374
4.701912,0.256383,9.538164,0.875271,0.875271,34.793018
4.680831,0.304806,9.630119,0.508446,0.508446,31.647681
4.924523,0.284479,8.573184,0.738952,0.738952,29.566865
5.261123,0.278162,9.846562,0.798487,0.798487,32.919620
4.995765,0.261091,10.569358,0.628293,0.628293,29.815588
