#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
12.435652,0.062304,0.554017,0.006392,0.006392,13.065408
1.414473,0.132962,2.576627,0.001443,0.001443,4.128069
9.979612,0.466599,3.542854,0.382095,0.382095,26.162928
9.697137,0.483199,4.074455,0.491294,0.491294,28.579538
8.484990,0.452544,4.456550,0.564728,0.564728,28.905191
7.923519,0.472811,5.251376,0.793774,0.793774,35.098793
9.040703,0.563515,7.874120,0.565328,0.565328,40.003659
8.807576,0.575708,8.402939,1.343255,1.343255,43.769549
8.470472,0.618396,7.846556,0.684907,0.684907,40.611169
7.876324,0.535816,7.980228,0.733325,0.733325,41.646248
8.414710,0.669189,10.891470,1.293988,1.293988,52.027818
7.361084,0.613685,9.753854,1.392298,1.392298,48.572219
7.605329,0.652110,9.990619,0.883346,0.883346,46.578555
7.178967,0.600080,10.024725,0.976296,0.976296,48.335562
7.458238,0.711855,10.505334,1.703250,1.703250,56.602472
7.700345,0.788023,11.186559,1.642824,1.642824,51.919025
7.413929,0.756051,10.778640,1.955358,1.955358,54.610881
6.733163,0.808903,11.105622,1.291696,1.291696,50.764888
6.919297,0.829934,11.647088,2.686051,2.686051,68.668180
7.126633,0.769046,11.074272,1.791913,1.791913,54.628063
6.912003,0.797241,11.539350,2.346677,2.346677,51.217654
7.532644,0.697449,11.152622,1.655331,1.655331,56.177134
7.339029,0.754108,12.316813,1.508877,1.508877,54.266359
6.958063,0.745672,12.183986,1.556289,1.556289,58.040396
7.194820,0.793594,12.415472,1.498798,1.498798,57.458658
7.314789,0.826589,10.545838,1.422191,1.422191,47.853419
7.176401,0.736064,12.419010,0.687680,0.687680,45.807732
7.971091,0.827420,12.014869,1.082373,1.082373,44.898676
6.993842,1.089577,12.019789,1.104536,1.104536,43.386623
7.569918,0.816920,11.078117,0.979656,0.979656,42.543532
6.773680,0.839805,11.062777,1.271420,1.271420,43.846115
7.041252,0.752637,11.391823,1.200262,1.200262,45.287389
6.853240,0.766494,10.310190,1.841042,1.841042,48.544524
7.266090,0.860505,11.357968,1.631335,1.631335,56.644046
8.413308,0.778172,8.732949,1.214687,1.214687,40.867505
7.392744,0.935609,10.557048,1.439162,1.439162,50.199021
7.513162,0.803249,12.443978,1.712288,1.712288,52.618849
6.507439,0.834719,11.990851,0.968322,0.968322,44.317336
7.317808,0.818328,11.572518,0.988561,0.988561,42.888287
7.071351,0.870317,12.599652,1.169132,1.169132,47.227326
7.141483,0.704774,12.600323,1.252540,1.252540,47.526052
6.686222,0.888772,13.536635,1.215450,1.215450,51.397627
7.661717,0.799643,14.089121,2.430970,2.430970,65.625039
7.827973,0.665650,12.894590,1.519356,1.519356,57.193994
7.506981,0.645693,13.186362,1.558080,1.558080,56.494635
7.470983,0.486852,12.848512,1.862426,1.862426,70.031141
8.237554,0.532438,13.355282,2.177462,2.177462,67.994386
10.050575,0.697310,17.264803,2.482629,2.482629,91.801121
7.540464,0.607510,13.224735,1.907411,1.907411,73.602280
7.566879,0.548108,13.862653,2.616184,2.616184,78.766505
7.708698,0.514224,14.538763,3.672856,3.672856,97.789420
7.215375,0.523391,13.965467,2.390196,2.390196,104.869539
7.489683,0.497232,14.083020,2.739357,2.739357,113.581326
7.548735,0.511819,14.446358,4.390074,4.390074,109.410187
7.573732,0.573135,14.700399,4.213690,4.213690,108.443036
6.761059,0.572916,13.922336,2.456484,2.456484,109.776011
6.977119,0.537368,13.758406,3.145570,3.145570,120.333804
6.472472,0.595227,14.044799,4.795385,4.795385,127.909986
6.569435,0.604205,14.287558,2.462896,2.462896,112.938933
6.489761,0.498662,13.544784,5.252776,5.252776,92.767781
