#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
3.567441,18,15,0,12644
8.327055,19,15,0,13613
15.114056,19,15,0,13358
5.409330,18,17,0,13055
7.211290,19,17,0,13617
3.825953,20,17,0,14248
2.199746,20,18,0,14427
5.645833,21,18,0,14988
8.118187,22,18,0,15418
14.448841,17,22,0,12808
3.659937,16,24,0,12418
4.991511,17,24,0,12930
3.010812,16,26,0,12239
3.048705,17,26,0,12633
7.619746,18,26,0,13113
3.190059,16,29,0,12426
7.413200,16,30,0,12381
6.604159,14,27,0,11523
3.465425,13,29,0,11777
3.319192,12,29,0,10110
5.975253,13,29,0,10855
13.670262,14,29,0,11495
2.347999,15,29,0,12174
2.631603,16,29,0,12847
3.830594,15,31,0,11973
3.398725,17,30,0,13897
4.347224,16,32,0,12517
6.491622,17,32,0,13198
2.726735,18,32,0,13683
6.078463,19,32,0,14294
4.643809,20,32,0,14901
4.670553,21,32,0,15610
4.748568,21,31,0,15704
6.112627,22,31,0,16431
3.955378,19,30,0,15275
16.687945,18,32,0,15077
3.123272,21,30,0,16876
8.010949,18,34,0,16554
8.605089,18,35,0,16280
6.129375,19,35,0,17859
2.988127,21,34,0,18885
7.794606,20,36,0,17303
8.183919,20,27,0,17112
3.878713,22,36,0,19678
5.396351,22,27,0,18169
11.844730,23,27,0,18829
3.948658,23,28,0,18924
7.478413,20,30,0,17052
4.224204,19,31,0,16675
6.227659,22,29,0,18144
17.657269,22,30,0,18271
4.995682,20,33,0,17074
3.485542,21,33,0,17652
6.375177,21,34,0,17635
3.991681,17,34,0,15023
3.442421,17,35,0,15378
5.970203,17,31,0,14275
14.823743,17,32,0,14179
2.664939,18,32,0,14773
3.956323,19,32,0,15188
5.622260,18,30,0,14384
15.114442,18,31,0,14338
2.599439,21,30,0,16275
4.794147,17,34,0,14767
4.804455,18,34,0,15244
18.253076,18,35,0,15279
5.330561,16,37,0,12587
4.973702,17,37,0,13310
2.583850,17,38,0,13479
8.239189,18,38,0,14275
4.769999,18,37,0,14246
6.846426,18,38,0,14728
4.808189,18,39,0,13884
4.149756,16,42,0,12845
5.200544,19,40,0,15361
6.532753,18,42,0,14226
3.427114,19,42,0,14869
4.552504,13,29,0,11682
5.457773,11,32,0,11129
5.496366,8,36,0,8974
2.260185,8,28,0,8747
18.050852,7,29,0,7871
2.068172,8,29,0,8400
2.009846,9,29,0,8949
2.002699,9,30,0,8649
2.016953,10,30,0,9301
1.936017,11,30,0,9908
