#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
2.656094,15,12,0,11143
3.025120,15,13,0,10995
2.667861,15,14,0,10973
6.212616,17,13,0,11911
4.877680,17,14,0,11531
3.450941,13,16,0,10280
5.286097,12,18,0,8924
3.763368,12,19,0,9043
2.249429,9,20,0,7362
2.672754,10,20,0,7908
1.578711,10,21,0,8802
4.748326,9,22,0,8358
2.124665,9,23,0,8559
5.895872,10,23,0,9334
2.357041,11,23,0,9888
2.142438,12,23,0,10535
14.838028,12,24,0,10748
2.303782,13,24,0,11293
4.045587,14,24,0,11833
2.547494,14,25,0,11630
3.698911,16,24,0,12749
2.574444,17,24,0,13391
4.337164,17,25,0,13456
2.594209,16,27,0,13423
13.888457,16,28,0,12700
2.863438,14,31,0,12154
3.184537,15,31,0,12640
2.748027,16,31,0,12989
3.590810,15,32,0,11690
4.572884,15,32,0,11643
4.332183,13,26,0,10157
4.481088,12,25,0,9736
1.946790,12,26,0,9804
1.876063,13,26,0,10387
2.530613,13,27,0,10191
10.706192,14,27,0,10735
1.445738,15,27,0,11247
3.956581,15,19,0,11224
3.286795,16,19,0,11826
1.816460,17,19,0,12489
3.189401,17,20,0,12900
3.529710,15,22,0,11385
5.699845,17,21,0,12701
2.444143,19,21,0,13980
2.282948,16,24,0,12119
2.789798,17,24,0,12928
3.442347,13,17,0,11044
3.967949,15,20,0,12339
2.868260,17,27,0,14725
7.609440,15,30,0,14335
3.127473,13,20,0,11208
4.668902,11,23,0,9967
5.652762,11,23,0,9965
2.589361,12,23,0,10518
1.844376,12,20,0,10396
5.103660,10,23,0,8657
2.915541,10,24,0,8472
2.298057,11,24,0,9106
1.863632,9,26,0,7924
6.916898,9,27,0,8045
1.957000,10,27,0,8663
2.967150,10,28,0,8664
2.417396,11,28,0,9178
4.324975,9,29,0,8314
5.434743,8,31,0,7262
1.799583,8,32,0,6988
1.395339,8,27,0,6400
1.450013,6,30,0,5208
1.054724,6,19,0,5074
1.433024,7,19,0,5380
0.734714,6,20,0,4717
1.396201,7,20,0,5080
1.080307,6,16,0,4736
0.923558,6,17,0,4891
0.653303,7,17,0,5357
1.039738,7,18,0,5455
0.896442,8,18,0,5958
1.327894,9,18,0,6506
1.303923,9,16,0,6687
2.134541,10,16,0,7159
1.170252,11,16,0,7802
1.955724,12,16,0,8451
1.729374,13,16,0,9109
1.974586,12,13,0,9036
1.503395,13,13,0,9698
1.881657,14,13,0,10424
2.294117,15,13,0,10939
6.580278,14,15,0,10398
2.847616,14,11,0,10498
1.799774,12,14,0,9713
1.807679,10,16,0,8995
1.450689,6,21,0,7765
2.437149,3,15,0,4327
1.969838,3,16,0,4068
1.073662,4,16,0,4828
0.750117,4,2,0,4735
0.904872,5,2,0,5270
0.743524,5,2,0,5274
1.009340,6,2,0,5483
0.705372,6,3,0,5287
0.622725,6,4,0,5038
0.721793,7,4,0,5436
0.924720,7,4,0,5295
0.927295,7,5,0,5561
0.992618,7,6,0,5581
0.990524,6,7,0,5262
15.969150,6,8,0,5081
0.856800,7,8,0,5369
1.249948,7,9,0,5233
1.264807,7,10,0,5171
1.147199,9,9,0,6110
0.986914,9,10,0,6418
1.456677,9,11,0,6441
1.245285,10,11,0,6897
1.251066,10,12,0,6733
1.593146,10,13,0,6911
2.507412,11,13,0,7334
1.736057,11,11,0,7786
1.877475,11,12,0,8227
2.301612,10,14,0,8365
3.275993,8,14,0,7676
