#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.006291,3,1,0,3208
0.001242,4,1,0,3467
0.388159,5,1,0,4050
0.275895,6,1,0,4657
0.568689,7,1,0,5171
0.629801,8,1,0,5755
0.579288,9,1,0,6430
1.008492,10,1,0,7073
0.993846,11,1,0,7586
0.846978,12,1,0,8078
1.002231,13,1,0,8729
1.128833,14,1,0,9224
1.148089,15,1,0,9582
1.279139,16,1,0,10009
1.300298,17,1,0,10364
1.373702,18,1,0,10862
1.784343,19,1,0,11489
1.615012,20,1,0,12022
1.666462,21,1,0,12479
2.436090,22,1,0,13002
3.799514,23,1,0,13616
3.344779,24,1,0,14244
4.077477,25,1,0,14775
3.884033,22,4,0,13866
3.408864,22,5,0,13908
3.286019,23,5,0,14548
3.435639,23,6,0,15005
4.340460,22,8,0,14506
2.774138,20,11,0,12796
4.057076,20,12,0,12854
2.850079,17,16,0,11403
3.780370,17,17,0,11613
1.779185,18,17,0,12212
1.963574,17,19,0,12105
2.196015,17,20,0,12301
3.240658,17,21,0,12522
3.438775,14,25,0,11453
3.398345,11,29,0,10137
3.010482,11,30,0,10287
1.588771,10,32,0,9820
2.116399,10,33,0,9875
1.831878,11,33,0,10358
3.531046,11,34,0,10283
2.584554,12,34,0,10797
2.617399,12,28,0,10530
2.707969,11,20,0,9630
2.765040,11,21,0,8999
1.665506,11,19,0,8347
3.204723,12,19,0,8615
3.458542,13,19,0,8833
1.028878,13,18,0,8655
1.594221,14,18,0,9392
1.172667,12,12,0,7952
1.557971,11,13,0,7801
1.947086,10,14,0,6715
1.437370,10,14,0,6640
1.116159,10,14,0,6516
1.164644,11,14,0,6649
1.197708,9,17,0,5778
0.913968,7,20,0,4664
0.504316,6,19,0,4232
0.579169,7,19,0,4484
0.598224,6,20,0,4023
0.765393,7,20,0,4352
0.442788,7,20,0,4314
0.541129,7,19,0,4109
0.417782,5,17,0,3303
0.510403,6,17,0,3716
0.333997,6,16,0,3702
0.434111,6,17,0,3621
0.503692,6,18,0,3488
0.426213,6,19,0,3447
0.405031,6,20,0,3418
0.397568,7,20,0,3878
0.411394,7,10,0,4066
0.492682,8,10,0,4493
0.614106,9,10,0,4896
0.613135,8,12,0,4657
0.866434,9,12,0,4997
1.279923,10,12,0,5435
0.933363,10,12,0,5514
1.301796,11,12,0,5982
1.626884,12,12,0,6381
2.888001,13,12,0,6781
0.905901,13,12,0,7062
0.804765,14,12,0,7608
0.869541,15,12,0,8274
0.935679,15,13,0,8650
0.905952,15,14,0,8816
1.000314,16,14,0,9295
1.031625,17,14,0,10030
1.045663,16,11,0,10117
1.152223,17,11,0,10868
2.290699,14,14,0,9960
4.435771,14,15,0,10229
1.398780,15,15,0,10932
1.464482,15,16,0,11317
3.293127,16,16,0,11944
2.156434,16,16,0,12144
2.487890,17,16,0,12623
1.931077,18,16,0,12904
2.267971,19,16,0,13265
2.961727,16,18,0,12426
4.487544,14,21,0,12394
2.226998,10,23,0,9132
1.896237,11,23,0,10010
1.361486,10,21,0,8515
1.738823,10,22,0,8455
1.077449,9,21,0,7919
1.479194,10,20,0,8591
0.838978,11,20,0,9242
2.385023,11,21,0,9254
2.277204,9,21,0,8103
1.827980,7,21,0,6541
1.585411,6,15,0,5649
0.993187,4,13,0,4434
0.776379,4,14,0,4259
0.498953,5,14,0,4525
0.402318,5,12,0,4246
1.204287,5,7,0,4179
0.495608,5,4,0,4217
0.334448,4,6,0,3923
0.344105,5,6,0,4220
0.510884,6,6,0,4665
0.493942,6,7,0,4527
0.469458,7,7,0,4777
0.914451,8,7,0,5090
0.588919,9,7,0,5562
0.505935,10,7,0,6140
4.570918,10,8,0,6386
0.966486,10,9,0,6574
0.816634,10,9,0,6615
1.007010,11,9,0,7093
1.456688,12,9,0,7493
6.560749,12,7,0,7761
1.122464,12,8,0,8081
1.346816,12,9,0,8176
0.875638,13,9,0,8464
0.952265,11,12,0,7843
1.657998,10,12,0,6728
1.392095,11,12,0,7280
1.356717,11,13,0,7408
1.173894,11,14,0,7553
1.122767,11,13,0,7457
1.344955,12,13,0,7620
