#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.680895,0.033485,0.349745,0.005975,0.005975,5.076374
5.834002,0.108275,1.453252,0.001030,0.001030,7.397867
5.486773,0.179366,1.777646,0.041171,0.041171,14.938905
5.673094,0.137545,3.106365,0.140503,0.140503,17.747257
5.218309,0.133478,4.386126,0.184212,0.184212,20.486406
5.782158,0.124474,5.523148,0.388431,0.388431,24.865278
5.535454,0.127722,7.086342,0.315266,0.315266,30.110610
6.010720,0.125830,10.498146,0.340916,0.340916,34.762542
5.130953,0.221254,9.090058,0.367107,0.367107,34.400562
5.742561,0.219127,9.154951,0.374218,0.374218,37.038148
5.283061,0.249075,8.936425,0.468823,0.468823,37.962149
5.468321,0.318534,9.326073,0.545246,0.545246,38.620470
5.536384,0.308906,8.681929,0.610273,0.610273,35.601149
5.149702,0.326945,8.710637,0.598699,0.598699,34.039433
4.949437,0.337453,8.833756,0.539679,0.539679,34.112668
5.129081,0.315336,8.229151,0.552401,0.552401,31.443105
6.405117,0.418749,7.508939,1.133312,1.133312,30.493683
5.474893,0.413971,6.124631,0.611386,0.611386,21.736756
5.556586,0.391932,8.567682,0.675214,0.675214,29.819675
6.103401,0.308993,10.819741,0.774400,0.774400,30.198157
5.580154,0.323489,10.489911,0.577599,0.577599,30.119077
6.906259,0.274927,10.556714,0.784980,0.784980,33.161811
5.554067,0.397087,9.877556,0.739745,0.739745,32.024547
5.502610,0.283545,11.576372,0.541585,0.541585,33.866641
6.091118,0.291051,12.286782,0.698392,0.698392,34.096434
5.469175,0.321996,13.972469,0.772695,0.772695,38.401380
5.436918,0.316907,12.907563,0.759853,0.759853,37.695304
5.086022,0.285497,12.621553,0.816039,0.816039,36.312827
5.391477,0.282667,12.720688,0.955393,0.955393,40.491893
5.361608,0.299793,13.245988,0.765875,0.765875,39.591980
5.091269,0.330408,13.135987,0.923659,0.923659,40.284298
5.170555,0.239028,13.238906,0.834115,0.834115,40.557401
5.353528,0.232188,13.351460,0.746679,0.746679,43.404448
5.446741,0.247630,12.997225,0.790602,0.790602,42.970818
5.611485,0.300804,13.689551,1.448883,1.448883,54.000111
5.673379,0.288895,12.737052,1.585766,1.585766,50.473022
5.476835,0.322920,12.971213,1.340443,1.340443,45.836809
5.054221,0.319759,13.228770,0.865756,0.865756,42.208917
5.512183,0.319295,15.236214,0.955624,0.955624,40.486504
6.871507,0.379224,12.457732,1.173404,1.173404,41.068969
5.433806,0.499494,10.636737,1.202857,1.202857,34.111955
4.920501,0.466728,7.347088,1.205878,1.205878,23.222389
4.919441,0.419970,6.822812,1.283117,1.283117,22.815573
5.047212,0.419430,6.860939,1.045195,1.045195,22.075782
5.022149,0.449303,7.479752,0.743278,0.743278,22.884000
5.026550,0.362834,7.155894,0.663350,0.663350,20.317205
4.775970,0.353403,6.907478,0.382050,0.382050,18.639528
