#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.007741,3,1,0,4040
0.001357,4,1,0,4510
0.336399,5,1,0,5357
0.640306,6,1,0,6040
0.514787,7,1,0,6608
1.043220,8,1,0,7109
1.240041,9,1,0,7640
1.468412,10,1,0,8375
1.155928,11,1,0,8782
1.539312,12,1,0,9112
1.289436,9,4,0,8641
2.145649,7,7,0,6397
1.835446,8,7,0,6930
1.143618,8,8,0,6671
0.830429,8,9,0,6488
1.010532,9,9,0,6937
0.796025,10,9,0,7430
0.797437,10,10,0,7448
1.289134,11,10,0,7991
2.093345,11,11,0,8117
1.443160,11,12,0,8252
1.676219,11,13,0,8242
1.822494,12,13,0,8601
1.948339,12,14,0,8635
1.532267,12,15,0,8590
2.049854,12,16,0,8562
1.846791,12,17,0,9239
1.408528,13,17,0,9855
1.106261,12,19,0,9733
2.026155,12,20,0,9917
1.385753,12,21,0,10050
2.119236,10,24,0,9341
1.359232,7,28,0,7992
1.529031,6,19,0,7153
1.518425,5,21,0,6515
0.975662,5,19,0,6118
1.002151,6,19,0,6539
0.717580,6,9,0,5786
1.617270,7,9,0,6079
1.180376,8,9,0,6448
0.940260,9,9,0,6807
1.070002,10,9,0,7205
1.199136,11,9,0,7857
1.548693,12,9,0,8454
2.007787,13,9,0,9213
1.652879,12,4,0,8896
2.292012,14,7,0,9933
1.741865,13,5,0,9848
5.633279,12,6,0,8984
1.485705,14,6,0,10441
1.213226,14,6,0,9777
2.089436,14,6,0,9994
1.627258,15,6,0,10545
1.380585,14,8,0,10171
2.788028,13,10,0,9842
2.335164,14,10,0,10601
1.539182,12,13,0,9903
2.776879,12,14,0,10196
1.626097,11,16,0,10062
3.716991,8,20,0,8438
1.325892,6,23,0,6789
1.398020,6,23,0,6157
1.119527,6,22,0,5643
0.760559,7,22,0,6266
0.821363,8,22,0,6765
0.941617,9,22,0,7481
0.949065,10,22,0,8111
0.938404,10,23,0,8824
1.521801,9,11,0,7545
1.645366,10,11,0,8292
1.277615,11,11,0,8968
2.386633,12,11,0,9726
1.441793,13,11,0,10498
1.641057,14,11,0,11152
2.234181,15,11,0,11820
1.800587,16,11,0,12571
1.925269,17,11,0,13425
3.748242,17,5,0,13860
4.630286,18,5,0,14600
2.924545,20,11,0,16011
3.725184,20,5,0,16284
4.986970,20,6,0,16436
4.359866,21,6,0,17201
3.423004,22,6,0,18083
3.568725,23,6,0,18859
3.318383,24,6,0,19644
4.055036,24,7,0,19887
5.502919,23,9,0,19686
3.813423,23,10,0,20300
7.295830,23,11,0,20037
3.785066,24,11,0,20737
3.691171,25,11,0,21496
3.991116,25,12,0,21705
5.246290,26,12,0,22422
8.144497,24,14,0,21020
6.770079,24,15,0,21314
3.862177,23,17,0,20848
7.204010,24,17,0,21598
5.761892,24,18,0,21651
7.754165,24,17,0,22226
7.060544,22,20,0,20629
7.158175,21,22,0,18953
5.706351,22,22,0,19915
5.729171,23,22,0,20820
5.587596,20,26,0,19026
6.309497,18,28,0,17548
4.789247,19,28,0,18275
5.344039,17,29,0,16730
6.952668,16,31,0,16708
6.860587,15,33,0,15065
7.919168,14,35,0,14420
2.717528,12,38,0,12899
16.413808,13,38,0,13504
7.191156,13,39,0,13153
5.179948,14,39,0,13579
7.143666,13,41,0,12308
9.347574,12,39,0,11209
2.838781,12,34,0,11089
2.023333,13,34,0,11860
2.556391,13,35,0,11851
2.767305,15,34,0,13567
7.701958,13,36,0,12430
4.756473,16,35,0,14115
6.817455,15,36,0,13648
3.204187,12,28,0,10456
7.699309,12,29,0,10520
2.370121,13,29,0,11045
2.660686,14,29,0,11750
2.481267,14,30,0,12472
6.118396,15,30,0,13070
4.480260,14,22,0,12120
5.829699,15,22,0,12861
3.140885,16,22,0,13740
3.842528,15,23,0,12991
5.053182,13,25,0,11445
6.110146,10,23,0,9849
3.340193,8,26,0,8796
2.094017,6,28,0,7630
1.703142,6,26,0,7330
1.150598,7,26,0,7917
1.823830,7,21,0,7114
1.951151,8,21,0,7782
0.959259,8,10,0,7352
1.407768,9,10,0,7920
1.104894,10,10,0,8657
1.661574,11,10,0,9377
1.902493,12,10,0,10160
3.687057,13,10,0,10934
2.261169,14,10,0,11626
2.583271,14,8,0,11626
3.245166,15,8,0,12318
1.991416,16,8,0,12995
3.442632,15,5,0,12203
2.371197,14,7,0,12434
2.930894,17,5,0,13103
3.304249,15,7,0,12248
6.084285,16,7,0,12748
5.494104,17,7,0,13368
3.870613,16,9,0,12568
4.415829,16,10,0,12476
3.291330,18,9,0,13515
4.484548,14,14,0,10912
9.609229,16,13,0,11925
3.800992,17,13,0,12433
7.047952,16,15,0,11774
3.458850,15,16,0,10785
2.749250,18,15,0,12826
1.988300,18,16,0,13152
2.701038,17,17,0,11749
7.585710,20,16,0,14284
5.579628,19,17,0,13175
4.370928,18,19,0,12809
3.951132,19,19,0,13776
2.972192,20,19,0,14570
9.585029,21,19,0,15230
3.831759,20,20,0,15303
3.286292,16,25,0,13486
8.758966,14,28,0,12912
14.188845,11,32,0,11746
3.665355,8,33,0,10695
5.748713,6,25,0,8257
1.852544,6,21,0,7256
1.079794,7,21,0,7769
1.241247,8,21,0,8488
1.741899,9,21,0,9112
1.953018,10,21,0,9658
1.591411,11,21,0,10232
2.036828,12,21,0,10815
3.674844,12,20,0,10254
2.348051,13,20,0,10942
2.286366,14,20,0,11604
2.630788,14,15,0,11328
2.212436,15,15,0,12007
3.258837,11,7,0,9632
5.130608,12,7,0,10182
2.363781,12,8,0,9861
4.237039,10,11,0,8577
2.775185,10,12,0,8521
1.815101,11,12,0,9252
1.820475,11,13,0,9066
1.626270,12,13,0,9607
1.727070,12,14,0,9630
2.252777,13,14,0,10334
2.627618,11,16,0,8783
3.367268,12,16,0,9367
2.323842,13,16,0,9917
2.696728,13,17,0,10412
2.771179,12,19,0,9427
2.519839,13,19,0,10093
2.183614,12,20,0,9721
2.180421,13,20,0,10342
1.756674,14,20,0,10896
2.564154,14,21,0,10818
1.815840,15,21,0,11416
4.026680,15,21,0,11944
3.408597,15,15,0,11731
4.221515,16,15,0,12432
2.029282,17,15,0,12855
