#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,33.128813,0.000000,0.000000,7.934857,3.103786,0.584492,36.737890
0.000000,0.000000,24.580640,0.000000,0.000000,2.029291,2.408633,0.427975,37.821672
0.000000,0.000000,24.071520,0.000000,0.000000,2.125814,2.186560,0.489912,29.939194
0.000000,0.000000,22.726381,0.000000,0.000000,2.187322,3.610253,0.110350,28.614885
0.000000,0.000000,25.589954,0.000000,0.000000,1.288792,2.798885,0.538825,32.851900
0.000000,0.000000,21.618553,0.000000,0.000000,2.443099,3.426409,0.091524,27.606827
0.000000,0.000000,25.094025,0.000000,0.000000,1.404832,4.169853,0.546690,32.388944
0.000000,0.000000,21.250576,0.000000,0.000000,2.252436,3.505260,0.101754,28.534024
0.000000,0.000000,21.020465,0.000000,0.000000,1.755750,3.936099,0.617355,28.216336
0.000000,0.000000,22.246449,0.000000,0.000000,2.024212,3.386524,0.113035,29.806152
0.000000,0.000000,20.769688,0.000000,0.000000,1.813089,3.609428,0.567169,27.946974
0.000000,0.000000,22.394199,0.000000,0.000000,2.735845,2.987916,0.067949,29.832411
0.000000,0.000000,25.259390,0.000000,0.000000,1.383763,2.279487,0.669233,32.669510
0.000000,0.000000,23.026873,0.000000,0.000000,2.274768,2.841266,0.072739,28.578666
0.000000,0.000000,27.244919,0.000000,0.000000,1.318169,2.726177,0.632413,33.819026
0.000000,0.000000,22.270273,0.000000,0.000000,2.043668,2.789268,0.079611,28.188674
0.000000,0.000000,21.419983,0.000000,0.000000,1.070306,2.389877,0.611063,27.589392
0.000000,0.000000,21.400108,0.000000,0.000000,2.416869,2.936517,0.080613,26.598760
0.000000,0.000000,24.228050,0.000000,0.000000,1.087088,2.468887,0.520431,31.194756
0.000000,0.000000,24.493133,0.000000,0.000000,1.946624,2.747538,0.054574,29.666478
0.000000,0.000000,21.135455,0.000000,0.000000,1.156982,2.501720,0.619008,27.153145
0.000000,0.000000,21.260262,0.000000,0.000000,2.344732,2.904827,0.067789,26.657883
0.000000,0.000000,20.037486,0.000000,0.000000,1.094271,2.161683,0.553012,26.592959
0.000000,0.000000,20.753679,0.000000,0.000000,2.397912,2.991151,0.071947,25.760945
0.000000,0.000000,19.974335,0.000000,0.000000,1.207748,2.333300,0.559765,26.694342
0.000000,0.000000,19.138925,0.000000,0.000000,2.016998,2.551384,0.045547,24.458408
0.000000,0.000000,19.872963,0.000000,0.000000,1.139348,2.476121,0.494992,25.703276
0.000000,0.000000,20.532579,0.000000,0.000000,2.487333,2.771253,0.059313,25.908547
0.000000,0.000000,21.639857,0.000000,0.000000,1.155188,2.822039,0.518667,28.360112
0.000000,0.000000,20.864941,0.000000,0.000000,2.306328,2.927100,0.049875,26.415773
0.000000,0.000000,19.666151,0.000000,0.000000,1.201185,2.876302,0.484903,26.053153
0.000000,0.000000,20.628301,0.000000,0.000000,1.999745,2.869991,0.045226,26.328626
0.000000,0.000000,19.961612,0.000000,0.000000,1.118880,2.579219,0.537603,26.042232
0.000000,0.000000,20.154358,0.000000,0.000000,2.112902,2.868892,0.048994,25.653616
