#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.006573,3,1,0,3451
0.002294,4,1,0,3911
0.278589,5,1,0,4700
0.448201,6,1,0,5509
0.792014,7,1,0,6381
0.771986,8,1,0,6993
0.864281,9,1,0,7631
0.825468,10,1,0,8305
0.870493,11,1,0,9047
1.297934,12,1,0,9640
1.103326,13,1,0,10195
1.369601,14,1,0,10661
2.573890,15,1,0,11307
1.552516,16,1,0,11754
1.931437,17,1,0,12242
2.607504,18,1,0,12888
4.404996,19,1,0,13513
3.277710,20,1,0,14031
2.405800,16,5,0,13495
2.379610,15,7,0,11778
3.174293,14,9,0,10878
2.207192,15,9,0,11414
1.356222,15,10,0,11324
2.889020,14,12,0,10468
1.526255,15,12,0,10888
1.597361,16,12,0,11413
1.571688,15,14,0,10747
1.919891,17,13,0,11642
1.919490,17,14,0,11590
2.319570,16,16,0,11044
2.274034,17,16,0,11618
1.643855,18,16,0,12170
1.845499,19,16,0,12781
3.180587,19,17,0,12874
1.980385,18,19,0,12297
3.484706,20,18,0,13335
2.317727,21,18,0,13857
4.774979,21,19,0,13932
2.379004,20,21,0,13985
3.730503,17,25,0,11677
2.154177,19,24,0,12708
3.747676,19,25,0,12766
2.292018,19,26,0,12829
5.396080,20,26,0,13417
2.884195,21,26,0,13968
3.603752,22,26,0,14546
2.267212,23,26,0,15064
4.631337,21,26,0,14225
3.754920,20,28,0,13951
2.506376,19,25,0,13654
4.415536,21,31,0,14790
4.129252,22,31,0,15476
4.248917,24,30,0,16636
2.256795,24,31,0,16867
4.268945,25,31,0,17498
3.067157,23,34,0,16713
4.885307,21,37,0,16536
2.864292,20,39,0,15270
4.387361,21,39,0,16979
6.384421,21,31,0,15872
4.199663,28,34,0,19687
4.984066,23,40,0,16886
4.868985,25,39,0,19102
3.227061,26,39,0,19739
3.327493,25,32,0,18328
2.969170,27,31,0,19039
3.823296,26,33,0,18268
4.916737,28,32,0,19913
3.398157,29,32,0,20312
7.233937,29,33,0,19693
3.536139,27,36,0,19188
3.458151,27,37,0,18757
6.781856,28,37,0,19381
2.883848,27,39,0,19724
3.472648,28,39,0,20299
4.625874,27,41,0,18622
3.968462,28,41,0,19127
3.782128,29,41,0,19724
6.725548,21,50,0,15238
4.253665,22,50,0,16892
6.436429,24,49,0,17927
4.355379,23,51,0,16661
5.677194,21,54,0,15432
4.738848,22,54,0,16170
2.402251,23,54,0,16784
2.207361,23,55,0,16829
4.745210,24,55,0,17474
3.827695,17,57,0,14304
3.990624,19,56,0,15675
4.996008,17,59,0,14682
6.077887,18,59,0,15264
8.130171,18,49,0,14793
3.287727,17,46,0,14242
5.342587,16,37,0,13346
7.666631,12,36,0,10820
6.752913,14,35,0,11931
1.474316,13,35,0,10736
3.731652,13,36,0,10439
2.016207,15,35,0,11523
2.212660,16,35,0,12079
1.584175,17,35,0,12657
5.003320,15,38,0,11326
3.276245,19,35,0,13844
5.421727,17,38,0,12437
4.016804,18,38,0,12950
3.453070,18,38,0,12788
6.797254,20,38,0,14184
3.699770,21,38,0,14668
4.496796,21,38,0,14284
4.414861,22,38,0,14812
5.912541,23,38,0,15317
2.571213,23,36,0,15112
7.211403,18,38,0,11858
4.359295,18,35,0,11858
2.489807,18,36,0,11976
3.404960,17,38,0,11436
4.490716,19,37,0,12453
4.109610,20,37,0,12880
4.711986,21,37,0,13294
5.930956,17,40,0,11259
3.467798,18,40,0,11726
5.750793,18,41,0,11448
1.753617,16,44,0,10295
4.627045,20,41,0,12369
1.792681,17,45,0,11135
3.962811,13,38,0,8560
1.950472,14,38,0,9284
1.247213,15,38,0,9990
1.760691,14,27,0,9604
2.008331,15,27,0,10192
2.460300,12,28,0,8887
2.507892,13,28,0,9382
2.016267,12,29,0,8953
2.454481,13,29,0,9315
1.522448,11,28,0,8208
3.993710,9,31,0,7137
2.225906,9,32,0,7013
6.194678,1074474860,1076687734,1072259640,1074474860
1.304733,777079843,-1257841302,-576144093,777079843
