#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.006720,3,1,0,3997
0.001781,4,1,0,5002
0.741637,5,1,0,5994
0.994987,6,1,0,6895
0.711304,7,1,0,7868
1.114556,8,1,0,8968
1.676143,9,1,0,9754
1.599619,8,2,0,10117
1.421110,6,5,0,8039
2.507929,6,6,0,7760
1.221967,6,7,0,7193
1.439632,7,7,0,7851
0.713096,8,7,0,8510
1.795061,9,7,0,9149
1.279319,10,7,0,9704
2.259692,10,8,0,9016
1.919994,11,8,0,9760
1.297188,12,8,0,10441
9.834545,12,8,0,10222
7.857983,13,8,0,10856
2.440415,14,8,0,11531
3.881100,15,8,0,12058
4.423775,15,6,0,11911
3.886636,16,6,0,12456
2.827056,17,6,0,13002
2.888600,17,6,0,13115
5.807205,18,6,0,13657
3.705697,18,6,0,13600
3.493057,17,8,0,13784
3.989281,16,10,0,12946
5.996167,16,11,0,13132
2.677056,14,13,0,11595
3.984623,13,15,0,10537
2.239230,13,15,0,10351
5.018648,9,20,0,7882
4.322934,8,22,0,7580
1.047095,7,23,0,7534
1.384526,5,23,0,5561
2.070590,6,23,0,6095
1.197562,7,23,0,6864
1.166708,7,18,0,6564
1.293823,8,18,0,7410
4.188381,9,18,0,7974
2.504791,9,10,0,7801
2.656496,10,10,0,8373
2.069689,11,10,0,8886
4.260598,12,10,0,9465
5.013003,13,10,0,9981
2.144140,14,10,0,10452
2.583259,14,8,0,10435
3.415589,15,8,0,10953
4.642559,16,8,0,11406
2.476142,15,7,0,11519
4.091230,16,10,0,12368
2.349885,16,8,0,12354
2.407478,17,8,0,12738
2.476012,18,8,0,13283
2.526114,16,8,0,11397
2.700962,15,9,0,10715
7.342067,15,10,0,10835
2.771722,12,14,0,9295
4.405060,14,13,0,10154
3.612453,16,12,0,10979
8.445115,14,15,0,10278
4.863829,15,15,0,10672
1.927930,14,17,0,9656
10.705706,15,17,0,9988
3.565446,15,18,0,10111
2.577518,15,19,0,10158
1.954505,15,20,0,10227
2.855933,16,20,0,11058
2.202383,15,22,0,11237
3.663380,14,24,0,10559
1.702828,14,25,0,10904
3.862415,13,26,0,10513
1.817154,13,27,0,10679
10.648344,14,27,0,11340
4.710214,14,28,0,11735
4.253693,15,28,0,12443
4.026952,16,28,0,13026
6.803798,16,27,0,13302
2.384039,16,28,0,13614
2.781384,17,28,0,14384
4.220635,17,27,0,14943
6.106075,13,20,0,12823
3.078777,13,21,0,12945
6.598682,10,20,0,11110
5.418144,8,21,0,10144
3.502807,8,22,0,9810
6.702554,7,23,0,8423
5.079877,5,14,0,6189
2.127943,5,13,0,6007
2.326219,5,8,0,5965
2.163334,6,8,0,6724
0.847961,7,8,0,7436
0.764163,8,8,0,8340
1.191069,9,8,0,9233
1.827977,10,8,0,10099
4.061083,10,9,0,10208
4.901044,11,9,0,10966
1.869816,11,5,0,10658
3.135098,12,5,0,11241
12.452076,13,5,0,11709
4.253942,13,5,0,11641
3.960450,13,4,0,11823
2.720068,12,6,0,11359
2.169359,11,8,0,10273
4.308278,12,8,0,10874
2.187542,11,10,0,9855
3.181302,13,9,0,11306
7.896653,12,11,0,10521
3.813021,12,12,0,10572
2.586593,14,11,0,11523
2.070340,14,12,0,11487
2.123557,14,13,0,11414
16.613030,15,13,0,12060
13.261514,14,14,0,11485
2.944519,15,14,0,11985
10.881231,15,15,0,11893
2.850190,15,16,0,11718
2.556911,13,19,0,10154
8.140752,14,19,0,10915
6.932534,15,19,0,11702
2.841853,14,21,0,11322
12.547494,16,20,0,12433
12.309539,16,21,0,12411
6.152717,16,21,0,12558
3.439656,14,24,0,11634
2.660219,14,25,0,11588
4.443849,9,31,0,9569
2.425911,6,28,0,7014
2.454778,4,23,0,5413
1.379044,5,23,0,5931
1.980756,5,24,0,5804
1.715703,6,24,0,6225
1.136181,7,24,0,6676
1.233386,8,24,0,7243
1.307241,9,24,0,7877
2.849485,9,6,0,7433
1.762178,10,6,0,7942
2.142392,11,6,0,8498
3.706675,12,6,0,8895
2.909714,13,6,0,9439
14.136668,14,6,0,9859
10.579526,15,6,0,10389
2.135271,16,6,0,11185
6.206092,16,7,0,11447
3.364102,17,7,0,12198
3.348585,17,4,0,12380
3.313259,18,4,0,13024
13.731019,19,4,0,13665
5.138728,20,4,0,14353
5.214569,19,6,0,14024
4.742164,20,6,0,14428
4.885031,17,9,0,13020
4.114343,17,10,0,12933
4.469892,15,13,0,12510
4.437085,13,16,0,11457
4.196633,12,17,0,10573
4.810797,11,19,0,10040
1.849103,11,20,0,10095
5.879316,11,21,0,10125
6.074220,10,23,0,9502
4.846405,9,24,0,8698
19.573520,8,19,0,7737
24.373176,9,19,0,8289
3.411322,9,15,0,8108
4.287672,8,17,0,7409
2.342786,7,12,0,6464
2.308101,7,13,0,6370
1.597338,7,12,0,6171
1.776487,8,12,0,6492
2.447461,9,12,0,7037
4.099395,8,14,0,6549
1.925563,9,14,0,7176
17.232492,9,15,0,7257
18.326300,10,15,0,7826
16.110789,10,15,0,7935
4.406178,10,16,0,8083
14.242864,11,16,0,8583
8.649566,12,16,0,9064
3.128128,12,16,0,9069
6.524740,13,16,0,9601
3.008310,14,16,0,10103
2.891368,12,19,0,9269
5.133680,14,18,0,9995
23.453260,15,18,0,10504
2.712035,15,19,0,10781
2.552797,16,19,0,11149
2.703155,12,18,0,9103
5.255356,9,19,0,7597
1.980983,14,18,0,9631
3.216725,14,19,0,9172
2.776752,7,21,0,6718
5.205318,4,25,0,5004
2.072306,4,21,0,4985
2.053177,4,15,0,4555
